t0_date,weighting,n_fit,n_holdout,beta_ols,beta_qr,alpha_ols,r2_fit,r2_holdout,sigma_fit,sigma_holdout
2007-01-01,log_density,1150,5747,7.688594513170344,7.560196292449229,-4.9080052701386165,0.9916189701837386,0.9498333676178263,0.20259752807355608,0.3446757051057264
2007-01-01,unweighted,5747,0,,,,,,,
2007-01-01,1_over_t,5747,0,,,,,,,
2007-01-08,log_density,1150,5747,7.671945940729884,7.543517553745975,-4.883996176798561,0.9916936614520048,0.9499442281662609,0.20159634686219394,0.3442946543024634
2007-01-08,unweighted,5747,0,,,,,,,
2007-01-08,1_over_t,5747,0,,,,,,,
2007-01-15,log_density,1150,5747,7.655283670158639,7.526823648931312,-4.8599848966157,0.9917593513919999,0.950055287235149,0.20062141269889427,0.3439124978089718
2007-01-15,unweighted,5747,0,,,,,,,
2007-01-15,1_over_t,5747,0,,,,,,,
2007-01-22,log_density,1150,5747,7.63390444988179,7.510114431356212,-4.830333235337321,0.9917457492137111,0.9501665432495368,0.20055622509112575,0.3435292373637102
2007-01-22,unweighted,5747,0,,,,,,,
2007-01-22,1_over_t,5747,0,,,,,,,
2007-01-29,log_density,1150,5747,7.617100780576749,7.493389752246523,-4.806179593274365,0.9918258581452507,0.9502779945710254,0.19958063582785648,0.3431448749211632
2007-01-29,unweighted,5747,0,,,,,,,
2007-01-29,1_over_t,5747,0,,,,,,,
2007-02-05,log_density,1150,5747,7.600170632836122,7.476649460661214,-4.781887699083743,0.9919042220865057,0.9503896394958942,0.19862166114235397,0.3427594126595959
2007-02-05,unweighted,5747,0,,,,,,,
2007-02-05,1_over_t,5747,0,,,,,,,
2007-02-12,log_density,1150,5747,7.5807474718575385,7.4598934034493025,-4.754626215922709,0.9919157973892724,0.950501476253164,0.19814764595803652,0.3423728529890783
2007-02-12,unweighted,5747,0,,,,,,,
2007-02-12,1_over_t,5747,0,,,,,,,
2007-02-19,log_density,1150,5747,7.5612744324479735,7.443121425205549,-4.727342884438169,0.9919458607502455,0.9506135030025985,0.19767988814426588,0.34198519855978804
2007-02-19,unweighted,5747,0,,,,,,,
2007-02-19,1_over_t,5747,0,,,,,,,
