date,years,log_price,fit,residual
2010-07-26,1.002053,-1.278528,2.285972,-3.564500
2010-07-27,1.004791,-1.233629,2.276715,-3.510344
2010-07-28,1.007529,-1.238730,2.267464,-3.506194
2010-07-29,1.010267,-1.211237,2.258217,-3.469455
2010-07-30,1.013005,-1.185380,2.248977,-3.434356
2010-07-31,1.015743,-1.207071,2.239741,-3.446812
2010-08-01,1.018480,-1.217169,2.230512,-3.447681
2010-08-02,1.021218,-1.211094,2.221288,-3.432382
2010-08-03,1.023956,-1.212316,2.212071,-3.424387
2010-08-04,1.026694,-1.216520,2.202859,-3.419379
2010-08-05,1.029432,-1.221358,2.193654,-3.415011
2010-08-06,1.032170,-1.207637,2.184455,-3.392092
2010-08-07,1.034908,-1.217835,2.175262,-3.393097
2010-08-08,1.037645,-1.220965,2.166076,-3.387041
2010-08-09,1.040383,-1.187341,2.156897,-3.344238
2010-08-10,1.043121,-1.159271,2.147724,-3.306996
2010-08-11,1.045859,-1.160747,2.138559,-3.299306
2010-08-12,1.048597,-1.171832,2.129401,-3.301232
2010-08-13,1.051335,-1.183398,2.120249,-3.303647
2010-08-14,1.054073,-1.177051,2.111105,-3.288156
2010-08-15,1.056810,-1.182428,2.101969,-3.284397
2010-08-16,1.059548,-1.185669,2.092840,-3.278509
2010-08-17,1.062286,-1.175784,2.083719,-3.259503
2010-08-18,1.065024,-1.158991,2.074605,-3.233597
2010-08-19,1.067762,-1.171421,2.065500,-3.236920
2010-08-20,1.070500,-1.180973,2.056402,-3.237375
2010-08-21,1.073238,-1.183650,2.047313,-3.230963
2010-08-22,1.075975,-1.197194,2.038232,-3.235426
2010-08-23,1.078713,-1.187442,2.029159,-3.216601
2010-08-24,1.081451,-1.182483,2.020094,-3.202577
2010-08-25,1.084189,-1.184958,2.011039,-3.195997
2010-08-26,1.086927,-1.189348,2.001992,-3.191339
2010-08-27,1.089665,-1.191219,1.992954,-3.184173
2010-08-28,1.092402,-1.188988,1.983925,-3.172913
2010-08-29,1.095140,-1.191152,1.974905,-3.166056
2010-08-30,1.097878,-1.200438,1.965894,-3.166332
2010-08-31,1.100616,-1.200739,1.956892,-3.157632
2010-09-01,1.103354,-1.215213,1.947900,-3.163113
2010-09-02,1.106092,-1.214085,1.938918,-3.153003
2010-09-03,1.108830,-1.209304,1.929945,-3.139249
2010-09-04,1.111567,-1.211369,1.920982,-3.132351
2010-09-05,1.114305,-1.207474,1.912029,-3.119502
2010-09-06,1.117043,-1.209012,1.903086,-3.112097
2010-09-07,1.119781,-1.212144,1.894153,-3.106297
2010-09-08,1.122519,-1.213491,1.885230,-3.098721
2010-09-09,1.125257,-1.211313,1.876318,-3.087630
2010-09-10,1.127995,-1.215987,1.867416,-3.083402
2010-09-11,1.130732,-1.202623,1.858524,-3.061147
2010-09-12,1.133470,-1.209414,1.849644,-3.059058
2010-09-13,1.136208,-1.209034,1.840774,-3.049808
2010-09-14,1.138946,-1.191767,1.831915,-3.023682
2010-09-15,1.141684,-1.213571,1.823068,-3.036639
2010-09-16,1.144422,-1.208660,1.814231,-3.022891
2010-09-17,1.147159,-1.217977,1.805406,-3.023383
2010-09-18,1.149897,-1.219414,1.796592,-3.016006
2010-09-19,1.152635,-1.208259,1.787790,-2.996048
2010-09-20,1.155373,-1.204147,1.778999,-2.983146
2010-09-21,1.158111,-1.201750,1.770220,-2.971970
2010-09-22,1.160849,-1.206733,1.761453,-2.968186
2010-09-23,1.163587,-1.205760,1.752698,-2.958458
2010-09-24,1.166324,-1.206157,1.743955,-2.950112
2010-09-25,1.169062,-1.207484,1.735224,-2.942708
2010-09-26,1.171800,-1.207061,1.726505,-2.933566
2010-09-27,1.174538,-1.206936,1.717799,-2.924734
2010-09-28,1.177276,-1.207992,1.709105,-2.917097
2010-09-29,1.180014,-1.208729,1.700424,-2.909153
2010-09-30,1.182752,-1.209409,1.691756,-2.901165
2010-10-01,1.185489,-1.207961,1.683101,-2.891062
2010-10-02,1.188227,-1.211439,1.674458,-2.885897
2010-10-03,1.190965,-1.212779,1.665829,-2.878608
2010-10-04,1.193703,-1.213476,1.657213,-2.870689
2010-10-05,1.196441,-1.210946,1.648610,-2.859556
2010-10-06,1.199179,-1.202226,1.640020,-2.842246
2010-10-07,1.201916,-1.194385,1.631444,-2.825829
2010-10-08,1.204654,-1.115735,1.622882,-2.738617
2010-10-09,1.207392,-1.071133,1.614333,-2.685466
2010-10-10,1.210130,-1.015202,1.605798,-2.621000
2010-10-11,1.212868,-1.021103,1.597278,-2.618380
2010-10-12,1.215606,-1.037793,1.588771,-2.626563
2010-10-13,1.218344,-1.018841,1.580278,-2.599119
2010-10-14,1.221081,-1.000279,1.571800,-2.572079
2010-10-15,1.223819,-0.993163,1.563336,-2.556499
2010-10-16,1.226557,-0.993069,1.554887,-2.547955
2010-10-17,1.229295,-0.989041,1.546452,-2.535492
2010-10-18,1.232033,-0.992773,1.538031,-2.530805
2010-10-19,1.234771,-0.999862,1.529626,-2.529489
2010-10-20,1.237509,-1.010322,1.521236,-2.531557
2010-10-21,1.240246,-0.994721,1.512860,-2.507581
2010-10-22,1.242984,-0.979580,1.504500,-2.484080
2010-10-23,1.245722,-0.965508,1.496155,-2.461663
2010-10-24,1.248460,-0.910642,1.487825,-2.398467
2010-10-25,1.251198,-0.886863,1.479510,-2.366374
