date,years,excess,fit,residual
2010-07-26,1.002053,0.276323,0.436429,-0.160107
2010-07-27,1.004791,0.315149,0.436687,-0.121538
2010-07-28,1.007529,0.303992,0.436944,-0.132952
2010-07-29,1.010267,0.325445,0.437200,-0.111755
2010-07-30,1.013005,0.345279,0.437455,-0.092176
2010-07-31,1.015743,0.317580,0.437708,-0.120128
2010-08-01,1.018480,0.301491,0.437961,-0.136470
2010-08-02,1.021218,0.301592,0.438213,-0.136621
2010-08-03,1.023956,0.294410,0.438464,-0.144054
2010-08-04,1.026694,0.284264,0.438714,-0.154450
2010-08-05,1.029432,0.273498,0.438962,-0.165464
2010-08-06,1.032170,0.281307,0.439210,-0.157903
2010-08-07,1.034908,0.265214,0.439456,-0.174243
2010-08-08,1.037645,0.256204,0.439702,-0.183498
2010-08-09,1.040383,0.283963,0.439946,-0.155983
2010-08-10,1.043121,0.306183,0.440189,-0.134006
2010-08-11,1.045859,0.298874,0.440431,-0.141557
2010-08-12,1.048597,0.281971,0.440672,-0.158702
2010-08-13,1.051335,0.264601,0.440912,-0.176312
2010-08-14,1.054073,0.265159,0.441151,-0.175992
2010-08-15,1.056810,0.254009,0.441388,-0.187379
2010-08-16,1.059548,0.245009,0.441624,-0.196615
2010-08-17,1.062286,0.249150,0.441860,-0.192709
2010-08-18,1.065024,0.260214,0.442093,-0.181879
2010-08-19,1.067762,0.242071,0.442326,-0.200255
2010-08-20,1.070500,0.226819,0.442557,-0.215739
2010-08-21,1.073238,0.218457,0.442787,-0.224330
2010-08-22,1.075975,0.199242,0.443016,-0.243774
2010-08-23,1.078713,0.203339,0.443244,-0.239905
2010-08-24,1.081451,0.202656,0.443470,-0.240814
2010-08-25,1.084189,0.194553,0.443695,-0.249142
2010-08-26,1.086927,0.184551,0.443919,-0.259368
2010-08-27,1.089665,0.177080,0.444141,-0.267062
2010-08-28,1.092402,0.173726,0.444362,-0.270637
2010-08-29,1.095140,0.165991,0.444582,-0.278591
2010-08-30,1.097878,0.151148,0.444800,-0.293653
2010-08-31,1.100616,0.145303,0.445017,-0.299714
2010-09-01,1.103354,0.125300,0.445233,-0.319933
2010-09-02,1.106092,0.120912,0.445447,-0.324536
2010-09-03,1.108830,0.120190,0.445660,-0.325470
2010-09-04,1.111567,0.112637,0.445871,-0.333235
2010-09-05,1.114305,0.111057,0.446081,-0.335024
