date,years,excess,fit,residual
2010-07-26,1.002053,0.276323,0.649542,-0.373219
2010-07-27,1.004791,0.315149,0.636795,-0.321646
2010-07-28,1.007529,0.303992,0.624097,-0.320105
2010-07-29,1.010267,0.325445,0.611453,-0.286008
2010-07-30,1.013005,0.345279,0.598867,-0.253589
2010-07-31,1.015743,0.317580,0.586346,-0.268766
2010-08-01,1.018480,0.301491,0.573892,-0.272401
2010-08-02,1.021218,0.301592,0.561512,-0.259920
2010-08-03,1.023956,0.294410,0.549209,-0.254799
2010-08-04,1.026694,0.284264,0.536988,-0.252724
2010-08-05,1.029432,0.273498,0.524852,-0.251354
2010-08-06,1.032170,0.281307,0.512807,-0.231500
2010-08-07,1.034908,0.265214,0.500855,-0.235642
2010-08-08,1.037645,0.256204,0.489002,-0.232798
2010-08-09,1.040383,0.283963,0.477250,-0.193287
2010-08-10,1.043121,0.306183,0.465604,-0.159420
2010-08-11,1.045859,0.298874,0.454066,-0.155192
2010-08-12,1.048597,0.281971,0.442641,-0.160671
2010-08-13,1.051335,0.264601,0.431332,-0.166731
2010-08-14,1.054073,0.265159,0.420141,-0.154982
2010-08-15,1.056810,0.254009,0.409073,-0.155064
2010-08-16,1.059548,0.245009,0.398130,-0.153121
2010-08-17,1.062286,0.249150,0.387315,-0.138165
2010-08-18,1.065024,0.260214,0.376631,-0.116417
2010-08-19,1.067762,0.242071,0.366080,-0.124009
2010-08-20,1.070500,0.226819,0.355666,-0.128847
2010-08-21,1.073238,0.218457,0.345391,-0.126933
2010-08-22,1.075975,0.199242,0.335256,-0.136014
2010-08-23,1.078713,0.203339,0.325266,-0.121927
2010-08-24,1.081451,0.202656,0.315421,-0.112765
2010-08-25,1.084189,0.194553,0.305724,-0.111171
2010-08-26,1.086927,0.184551,0.296177,-0.111626
2010-08-27,1.089665,0.177080,0.286781,-0.109702
2010-08-28,1.092402,0.173726,0.277540,-0.103814
2010-08-29,1.095140,0.165991,0.268454,-0.102463
2010-08-30,1.097878,0.151148,0.259525,-0.108377
2010-08-31,1.100616,0.145303,0.250755,-0.105452
2010-09-01,1.103354,0.125300,0.242145,-0.116845
2010-09-02,1.106092,0.120912,0.233696,-0.112785
2010-09-03,1.108830,0.120190,0.225411,-0.105221
2010-09-04,1.111567,0.112637,0.217290,-0.104653
2010-09-05,1.114305,0.111057,0.209334,-0.098277
2010-09-06,1.117043,0.104057,0.201544,-0.097487
2010-09-07,1.119781,0.095476,0.193922,-0.098445
2010-09-08,1.122519,0.088694,0.186468,-0.097773
