date,years,excess,fit,residual
2010-07-26,1.002053,0.276323,0.578485,-0.302162
2010-07-27,1.004791,0.315149,0.579161,-0.264012
2010-07-28,1.007529,0.303992,0.579831,-0.275839
2010-07-29,1.010267,0.325445,0.580495,-0.255051
2010-07-30,1.013005,0.345279,0.581154,-0.235875
2010-07-31,1.015743,0.317580,0.581806,-0.264226
2010-08-01,1.018480,0.301491,0.582453,-0.280962
2010-08-02,1.021218,0.301592,0.583094,-0.281503
2010-08-03,1.023956,0.294410,0.583730,-0.289320
2010-08-04,1.026694,0.284264,0.584359,-0.300095
2010-08-05,1.029432,0.273498,0.584982,-0.311484
2010-08-06,1.032170,0.281307,0.585600,-0.304293
2010-08-07,1.034908,0.265214,0.586212,-0.320998
2010-08-08,1.037645,0.256204,0.586817,-0.330614
2010-08-09,1.040383,0.283963,0.587417,-0.303454
2010-08-10,1.043121,0.306183,0.588011,-0.281828
2010-08-11,1.045859,0.298874,0.588599,-0.289725
2010-08-12,1.048597,0.281971,0.589181,-0.307211
2010-08-13,1.051335,0.264601,0.589757,-0.325156
2010-08-14,1.054073,0.265159,0.590327,-0.325168
2010-08-15,1.056810,0.254009,0.590891,-0.336882
2010-08-16,1.059548,0.245009,0.591449,-0.346440
2010-08-17,1.062286,0.249150,0.592001,-0.342851
2010-08-18,1.065024,0.260214,0.592547,-0.332332
2010-08-19,1.067762,0.242071,0.593087,-0.351016
2010-08-20,1.070500,0.226819,0.593620,-0.366802
2010-08-21,1.073238,0.218457,0.594148,-0.375691
2010-08-22,1.075975,0.199242,0.594669,-0.395427
2010-08-23,1.078713,0.203339,0.595185,-0.391846
2010-08-24,1.081451,0.202656,0.595694,-0.393038
2010-08-25,1.084189,0.194553,0.596197,-0.401644
2010-08-26,1.086927,0.184551,0.596694,-0.412144
2010-08-27,1.089665,0.177080,0.597185,-0.420106
2010-08-28,1.092402,0.173726,0.597670,-0.423944
2010-08-29,1.095140,0.165991,0.598148,-0.432157
2010-08-30,1.097878,0.151148,0.598621,-0.447473
2010-08-31,1.100616,0.145303,0.599087,-0.453784
2010-09-01,1.103354,0.125300,0.599547,-0.474247
2010-09-02,1.106092,0.120912,0.600001,-0.479089
2010-09-03,1.108830,0.120190,0.600448,-0.480258
2010-09-04,1.111567,0.112637,0.600889,-0.488253
2010-09-05,1.114305,0.111057,0.601324,-0.490267
2010-09-06,1.117043,0.104057,0.601753,-0.497696
2010-09-07,1.119781,0.095476,0.602176,-0.506699
2010-09-08,1.122519,0.088694,0.602592,-0.513897
2010-09-09,1.125257,0.085451,0.603002,-0.517551
