date,years,excess,fit,residual
2010-07-26,1.002053,0.276323,0.381560,-0.105237
2010-07-27,1.004791,0.315149,0.385910,-0.070760
2010-07-28,1.007529,0.303992,0.389963,-0.085971
2010-07-29,1.010267,0.325445,0.393696,-0.068251
2010-07-30,1.013005,0.345279,0.397086,-0.051808
2010-07-31,1.015743,0.317580,0.400114,-0.082534
2010-08-01,1.018480,0.301491,0.402759,-0.101268
2010-08-02,1.021218,0.301592,0.405005,-0.103413
2010-08-03,1.023956,0.294410,0.406835,-0.112425
2010-08-04,1.026694,0.284264,0.408236,-0.123972
2010-08-05,1.029432,0.273498,0.409194,-0.135695
2010-08-06,1.032170,0.281307,0.409699,-0.128392
2010-08-07,1.034908,0.265214,0.409742,-0.144528
2010-08-08,1.037645,0.256204,0.409314,-0.153111
2010-08-09,1.040383,0.283963,0.408412,-0.124448
2010-08-10,1.043121,0.306183,0.407029,-0.100845
2010-08-11,1.045859,0.298874,0.405163,-0.106289
2010-08-12,1.048597,0.281971,0.402814,-0.120844
2010-08-13,1.051335,0.264601,0.399983,-0.135382
2010-08-14,1.054073,0.265159,0.396671,-0.131512
2010-08-15,1.056810,0.254009,0.392882,-0.138873
2010-08-16,1.059548,0.245009,0.388622,-0.143613
2010-08-17,1.062286,0.249150,0.383898,-0.134748
2010-08-18,1.065024,0.260214,0.378717,-0.118503
2010-08-19,1.067762,0.242071,0.373090,-0.131019
2010-08-20,1.070500,0.226819,0.367027,-0.140208
2010-08-21,1.073238,0.218457,0.360540,-0.142083
2010-08-22,1.075975,0.199242,0.353643,-0.154401
2010-08-23,1.078713,0.203339,0.346351,-0.143012
2010-08-24,1.081451,0.202656,0.338678,-0.136022
2010-08-25,1.084189,0.194553,0.330642,-0.136089
2010-08-26,1.086927,0.184551,0.322261,-0.137710
2010-08-27,1.089665,0.177080,0.313552,-0.136473
2010-08-28,1.092402,0.173726,0.304536,-0.130811
2010-08-29,1.095140,0.165991,0.295232,-0.129241
2010-08-30,1.097878,0.151148,0.285662,-0.134514
2010-08-31,1.100616,0.145303,0.275846,-0.130543
2010-09-01,1.103354,0.125300,0.265807,-0.140507
2010-09-02,1.106092,0.120912,0.255568,-0.134656
2010-09-03,1.108830,0.120190,0.245151,-0.124961
2010-09-04,1.111567,0.112637,0.234580,-0.121943
2010-09-05,1.114305,0.111057,0.223878,-0.112821
2010-09-06,1.117043,0.104057,0.213069,-0.109012
2010-09-07,1.119781,0.095476,0.202177,-0.106701
2010-09-08,1.122519,0.088694,0.191227,-0.102533
2010-09-09,1.125257,0.085451,0.180242,-0.094791
2010-09-10,1.127995,0.075368,0.169246,-0.093878
2010-09-11,1.130732,0.083336,0.158264,-0.074927
2010-09-12,1.133470,0.071163,0.147318,-0.076155
2010-09-13,1.136208,0.066174,0.136434,-0.070260
2010-09-14,1.138946,0.078084,0.125633,-0.047549
2010-09-15,1.141684,0.050936,0.114939,-0.064003
2010-09-16,1.144422,0.050516,0.104374,-0.053858
2010-09-17,1.147159,0.035881,0.093961,-0.058080
2010-09-18,1.149897,0.029138,0.083721,-0.054583
2010-09-19,1.152635,0.035001,0.073675,-0.038674
2010-09-20,1.155373,0.033832,0.063844,-0.030012
2010-09-21,1.158111,0.030962,0.054248,-0.023287
2010-09-22,1.160849,0.020723,0.044906,-0.024182
2010-09-23,1.163587,0.016453,0.035835,-0.019383
2010-09-24,1.166324,0.010825,0.027055,-0.016230
2010-09-25,1.169062,0.004280,0.018583,-0.014303
2010-09-26,1.171800,-0.000503,0.010433,-0.010936
2010-09-27,1.174538,-0.005572,0.002623,-0.008195
2010-09-28,1.177276,-0.011810,-0.004834,-0.006976
2010-09-29,1.180014,-0.017717,-0.011924,-0.005793
2010-09-30,1.182752,-0.023555,-0.018634,-0.004921
2010-10-01,1.185489,-0.027254,-0.024953,-0.002301
2010-10-02,1.188227,-0.035865,-0.030868,-0.004997
2010-10-03,1.190965,-0.042328,-0.036370,-0.005958
2010-10-04,1.193703,-0.048135,-0.041451,-0.006685
2010-10-05,1.196441,-0.050704,-0.046101,-0.004603
2010-10-06,1.199179,-0.047071,-0.050313,0.003242
2010-10-07,1.201916,-0.044306,-0.054082,0.009777
2010-10-08,1.204654,0.029280,-0.057402,0.086682
2010-10-09,1.207392,0.068829,-0.060269,0.129098
2010-10-10,1.210130,0.119719,-0.062678,0.182397
2010-10-11,1.212868,0.108789,-0.064628,0.173417
2010-10-12,1.215606,0.087080,-0.066118,0.153198
2010-10-13,1.218344,0.101025,-0.067145,0.168170
2010-10-14,1.221081,0.114591,-0.067712,0.182303
2010-10-15,1.223819,0.116723,-0.067818,0.184541
2010-10-16,1.226557,0.111843,-0.067467,0.179310
2010-10-17,1.229295,0.110909,-0.066660,0.177569
2010-10-18,1.232033,0.102225,-0.065402,0.167626
2010-10-19,1.234771,0.090195,-0.063697,0.153892
2010-10-20,1.237509,0.074806,-0.061551,0.136357
2010-10-21,1.240246,0.085489,-0.058969,0.144458
2010-10-22,1.242984,0.095722,-0.055960,0.151682
2010-10-23,1.245722,0.104897,-0.052530,0.157427
2010-10-24,1.248460,0.154877,-0.048687,0.203564
2010-10-25,1.251198,0.173780,-0.044441,0.218221
2010-10-26,1.253936,0.247708,-0.039802,0.287510
2010-10-27,1.256674,0.293468,-0.034779,0.328247
2010-10-28,1.259411,0.312396,-0.029385,0.341780
2010-10-29,1.262149,0.306655,-0.023629,0.330284
2010-10-30,1.264887,0.315893,-0.017524,0.333417
2010-10-31,1.267625,0.320483,-0.011083,0.331566
2010-11-01,1.270363,0.307537,-0.004318,0.311855
2010-11-02,1.273101,0.307113,0.002757,0.304356
2010-11-03,1.275838,0.277616,0.010128,0.267488
2010-11-04,1.278576,0.332622,0.017782,0.314840
2010-11-05,1.281314,0.379538,0.025704,0.353835
2010-11-06,1.284052,0.439842,0.033878,0.405964
2010-11-07,1.286790,0.555587,0.042291,0.513295
2010-11-08,1.289528,0.497220,0.050927,0.446293
2010-11-09,1.292266,0.402200,0.059770,0.342430
2010-11-10,1.295003,0.284627,0.068806,0.215821
2010-11-11,1.297741,0.334002,0.078017,0.255985
2010-11-12,1.300479,0.365918,0.087388,0.278530
2010-11-13,1.303217,0.415250,0.096904,0.318346
2010-11-14,1.305955,0.411217,0.106548,0.304669
2010-11-15,1.308693,0.404500,0.116305,0.288195
2010-11-16,1.311431,0.359611,0.126158,0.233453
2010-11-17,1.314168,0.349679,0.136092,0.213587
2010-11-18,1.316906,0.349374,0.146091,0.203283
2010-11-19,1.319644,0.376365,0.156138,0.220227
2010-11-20,1.322382,0.380921,0.166219,0.214701
2010-11-21,1.325120,0.375977,0.176319,0.199659
2010-11-22,1.327858,0.373618,0.186421,0.187197
2010-11-23,1.330595,0.373841,0.196511,0.177330
2010-11-24,1.333333,0.367718,0.206574,0.161144
