date,years,excess,fit,residual
2010-07-26,1.002053,0.276323,0.515677,-0.239355
2010-07-27,1.004791,0.315149,0.500945,-0.185796
2010-07-28,1.007529,0.303992,0.486243,-0.182252
2010-07-29,1.010267,0.325445,0.471577,-0.146133
2010-07-30,1.013005,0.345279,0.456953,-0.111674
2010-07-31,1.015743,0.317580,0.442377,-0.124797
2010-08-01,1.018480,0.301491,0.427855,-0.126363
2010-08-02,1.021218,0.301592,0.413391,-0.111800
2010-08-03,1.023956,0.294410,0.398993,-0.104583
2010-08-04,1.026694,0.284264,0.384666,-0.100402
2010-08-05,1.029432,0.273498,0.370414,-0.096916
2010-08-06,1.032170,0.281307,0.356243,-0.074936
2010-08-07,1.034908,0.265214,0.342158,-0.076944
2010-08-08,1.037645,0.256204,0.328164,-0.071960
2010-08-09,1.040383,0.283963,0.314266,-0.030303
2010-08-10,1.043121,0.306183,0.300469,0.005715
2010-08-11,1.045859,0.298874,0.286776,0.012098
2010-08-12,1.048597,0.281971,0.273194,0.008777
2010-08-13,1.051335,0.264601,0.259725,0.004876
2010-08-14,1.054073,0.265159,0.246374,0.018785
2010-08-15,1.056810,0.254009,0.233146,0.020863
2010-08-16,1.059548,0.245009,0.220044,0.024965
2010-08-17,1.062286,0.249150,0.207073,0.042077
2010-08-18,1.065024,0.260214,0.194235,0.065979
2010-08-19,1.067762,0.242071,0.181535,0.060536
2010-08-20,1.070500,0.226819,0.168976,0.057842
2010-08-21,1.073238,0.218457,0.156562,0.061895
2010-08-22,1.075975,0.199242,0.144296,0.054947
2010-08-23,1.078713,0.203339,0.132180,0.071158
2010-08-24,1.081451,0.202656,0.120219,0.082437
2010-08-25,1.084189,0.194553,0.108416,0.086137
2010-08-26,1.086927,0.184551,0.096772,0.087779
2010-08-27,1.089665,0.177080,0.085290,0.091789
2010-08-28,1.092402,0.173726,0.073975,0.099751
2010-08-29,1.095140,0.165991,0.062827,0.103164
2010-08-30,1.097878,0.151148,0.051849,0.099298
2010-08-31,1.100616,0.145303,0.041045,0.104258
2010-09-01,1.103354,0.125300,0.030415,0.094885
2010-09-02,1.106092,0.120912,0.019962,0.100950
2010-09-03,1.108830,0.120190,0.009688,0.110502
2010-09-04,1.111567,0.112637,-0.000405,0.113041
2010-09-05,1.114305,0.111057,-0.010315,0.121372
2010-09-06,1.117043,0.104057,-0.020040,0.124098
2010-09-07,1.119781,0.095476,-0.029580,0.125056
2010-09-08,1.122519,0.088694,-0.038932,0.127626
2010-09-09,1.125257,0.085451,-0.048095,0.133546
2010-09-10,1.127995,0.075368,-0.057067,0.132435
2010-09-11,1.130732,0.083336,-0.065848,0.149184
2010-09-12,1.133470,0.071163,-0.074436,0.145599
2010-09-13,1.136208,0.066174,-0.082830,0.149004
2010-09-14,1.138946,0.078084,-0.091029,0.169114
2010-09-15,1.141684,0.050936,-0.099033,0.149969
2010-09-16,1.144422,0.050516,-0.106840,0.157356
2010-09-17,1.147159,0.035881,-0.114450,0.150331
2010-09-18,1.149897,0.029138,-0.121862,0.151000
2010-09-19,1.152635,0.035001,-0.129075,0.164076
2010-09-20,1.155373,0.033832,-0.136090,0.169922
2010-09-21,1.158111,0.030962,-0.142905,0.173867
2010-09-22,1.160849,0.020723,-0.149521,0.170244
2010-09-23,1.163587,0.016453,-0.155936,0.172389
2010-09-24,1.166324,0.010825,-0.162152,0.172977
2010-09-25,1.169062,0.004280,-0.168168,0.172447
2010-09-26,1.171800,-0.000503,-0.173983,0.173480
2010-09-27,1.174538,-0.005572,-0.179598,0.174026
2010-09-28,1.177276,-0.011810,-0.185013,0.173203
2010-09-29,1.180014,-0.017717,-0.190228,0.172511
2010-09-30,1.182752,-0.023555,-0.195244,0.171689
2010-10-01,1.185489,-0.027254,-0.200061,0.172807
2010-10-02,1.188227,-0.035865,-0.204678,0.168813
2010-10-03,1.190965,-0.042328,-0.209097,0.166769
2010-10-04,1.193703,-0.048135,-0.213318,0.165183
2010-10-05,1.196441,-0.050704,-0.217342,0.166638
2010-10-06,1.199179,-0.047071,-0.221168,0.174097
2010-10-07,1.201916,-0.044306,-0.224799,0.180493
2010-10-08,1.204654,0.029280,-0.228234,0.257515
2010-10-09,1.207392,0.068829,-0.231475,0.300304
2010-10-10,1.210130,0.119719,-0.234522,0.354241
2010-10-11,1.212868,0.108789,-0.237376,0.346165
2010-10-12,1.215606,0.087080,-0.240038,0.327118
2010-10-13,1.218344,0.101025,-0.242509,0.343534
2010-10-14,1.221081,0.114591,-0.244790,0.359382
2010-10-15,1.223819,0.116723,-0.246883,0.363605
2010-10-16,1.226557,0.111843,-0.248787,0.360630
2010-10-17,1.229295,0.110909,-0.250505,0.361414
2010-10-18,1.232033,0.102225,-0.252038,0.354263
2010-10-19,1.234771,0.090195,-0.253387,0.343582
2010-10-20,1.237509,0.074806,-0.254553,0.329360
2010-10-21,1.240246,0.085489,-0.255538,0.341026
2010-10-22,1.242984,0.095722,-0.256342,0.352064
2010-10-23,1.245722,0.104897,-0.256968,0.361865
2010-10-24,1.248460,0.154877,-0.257417,0.412294
2010-10-25,1.251198,0.173780,-0.257690,0.431470
2010-10-26,1.253936,0.247708,-0.257789,0.505497
2010-10-27,1.256674,0.293468,-0.257716,0.551183
2010-10-28,1.259411,0.312396,-0.257471,0.569867
2010-10-29,1.262149,0.306655,-0.257057,0.563712
2010-10-30,1.264887,0.315893,-0.256476,0.572369
2010-10-31,1.267625,0.320483,-0.255728,0.576211
2010-11-01,1.270363,0.307537,-0.254816,0.562353
2010-11-02,1.273101,0.307113,-0.253741,0.560854
2010-11-03,1.275838,0.277616,-0.252505,0.530122
2010-11-04,1.278576,0.332622,-0.251111,0.583733
2010-11-05,1.281314,0.379538,-0.249559,0.629097
2010-11-06,1.284052,0.439842,-0.247851,0.687693
2010-11-07,1.286790,0.555587,-0.245990,0.801577
2010-11-08,1.289528,0.497220,-0.243977,0.741197
2010-11-09,1.292266,0.402200,-0.241814,0.644015
2010-11-10,1.295003,0.284627,-0.239503,0.524130
2010-11-11,1.297741,0.334002,-0.237047,0.571049
2010-11-12,1.300479,0.365918,-0.234446,0.600364
2010-11-13,1.303217,0.415250,-0.231703,0.646953
2010-11-14,1.305955,0.411217,-0.228819,0.640037
2010-11-15,1.308693,0.404500,-0.225798,0.630298
2010-11-16,1.311431,0.359611,-0.222640,0.582251
2010-11-17,1.314168,0.349679,-0.219348,0.569027
2010-11-18,1.316906,0.349374,-0.215924,0.565298
2010-11-19,1.319644,0.376365,-0.212370,0.588735
2010-11-20,1.322382,0.380921,-0.208687,0.589608
2010-11-21,1.325120,0.375977,-0.204879,0.580856
2010-11-22,1.327858,0.373618,-0.200946,0.574564
2010-11-23,1.330595,0.373841,-0.196892,0.570733
2010-11-24,1.333333,0.367718,-0.192718,0.560436
2010-11-25,1.336071,0.362816,-0.188426,0.551242
2010-11-26,1.338809,0.359594,-0.184018,0.543612
2010-11-27,1.341547,0.357280,-0.179496,0.536776
2010-11-28,1.344285,0.345915,-0.174864,0.520778
2010-11-29,1.347023,0.306370,-0.170121,0.476492
2010-11-30,1.349760,0.225547,-0.165272,0.390819
2010-12-01,1.352498,0.226730,-0.160317,0.387047
2010-12-02,1.355236,0.256240,-0.155259,0.411499
2010-12-03,1.357974,0.272020,-0.150100,0.422121
2010-12-04,1.360712,0.255160,-0.144842,0.400002
2010-12-05,1.363450,0.195560,-0.139488,0.335048
2010-12-06,1.366188,0.163574,-0.134038,0.297612
2010-12-07,1.368925,0.180773,-0.128497,0.309269
2010-12-08,1.371663,0.219355,-0.122864,0.342220
2010-12-09,1.374401,0.164245,-0.117144,0.281389
2010-12-10,1.377139,0.134283,-0.111337,0.245619
2010-12-11,1.379877,0.185367,-0.105445,0.290813
2010-12-12,1.382615,0.174740,-0.099472,0.274212
2010-12-13,1.385352,0.177177,-0.093419,0.270595
2010-12-14,1.388090,0.188360,-0.087287,0.275648
2010-12-15,1.390828,0.208408,-0.081080,0.289488
2010-12-16,1.393566,0.199981,-0.074799,0.274780
2010-12-17,1.396304,0.206921,-0.068446,0.275367
2010-12-18,1.399042,0.204430,-0.062024,0.266454
2010-12-19,1.401780,0.196776,-0.055533,0.252310
2010-12-20,1.404517,0.210482,-0.048977,0.259459
2010-12-21,1.407255,0.210955,-0.042358,0.253313
2010-12-22,1.409993,0.189749,-0.035677,0.225426
2010-12-23,1.412731,0.185485,-0.028936,0.214422
2010-12-24,1.415469,0.182341,-0.022138,0.204479
2010-12-25,1.418207,0.178022,-0.015284,0.193306
2010-12-26,1.420945,0.184582,-0.008377,0.192959
2010-12-27,1.423682,0.184179,-0.001418,0.185596
2010-12-28,1.426420,0.200276,0.005591,0.194685
2010-12-29,1.429158,0.226763,0.012648,0.214116
2010-12-30,1.431896,0.230596,0.019750,0.210846
2010-12-31,1.434634,0.228942,0.026896,0.202046
2011-01-01,1.437372,0.224371,0.034085,0.190287
2011-01-02,1.440110,0.220205,0.041313,0.178892
2011-01-03,1.442847,0.211084,0.048579,0.162505
2011-01-04,1.445585,0.208918,0.055882,0.153036
2011-01-05,1.448323,0.205788,0.063220,0.142569
2011-01-06,1.451061,0.203709,0.070590,0.133119
