date,years,log_price,fit,residual
2010-07-26,1.002053,-1.278528,-1.218519,-0.060009
2010-07-27,1.004791,-1.233629,-1.212347,-0.021282
2010-07-28,1.007529,-1.238730,-1.206189,-0.032541
2010-07-29,1.010267,-1.211237,-1.200045,-0.011192
2010-07-30,1.013005,-1.185380,-1.193915,0.008535
2010-07-31,1.015743,-1.207071,-1.187798,-0.019274
2010-08-01,1.018480,-1.217169,-1.181694,-0.035475
2010-08-02,1.021218,-1.211094,-1.175604,-0.035489
2010-08-03,1.023956,-1.212316,-1.169528,-0.042789
2010-08-04,1.026694,-1.216520,-1.163465,-0.053055
2010-08-05,1.029432,-1.221358,-1.157415,-0.063943
2010-08-06,1.032170,-1.207637,-1.151379,-0.056259
2010-08-07,1.034908,-1.217835,-1.145356,-0.072480
2010-08-08,1.037645,-1.220965,-1.139346,-0.081619
2010-08-09,1.040383,-1.187341,-1.133349,-0.053992
2010-08-10,1.043121,-1.159271,-1.127366,-0.031906
2010-08-11,1.045859,-1.160747,-1.121395,-0.039351
2010-08-12,1.048597,-1.171832,-1.115438,-0.056393
2010-08-13,1.051335,-1.183398,-1.109494,-0.073904
2010-08-14,1.054073,-1.177051,-1.103563,-0.073488
2010-08-15,1.056810,-1.182428,-1.097645,-0.084783
2010-08-16,1.059548,-1.185669,-1.091740,-0.093929
2010-08-17,1.062286,-1.175784,-1.085848,-0.089937
2010-08-18,1.065024,-1.158991,-1.079968,-0.079023
2010-08-19,1.067762,-1.171421,-1.074102,-0.097319
2010-08-20,1.070500,-1.180973,-1.068248,-0.112725
2010-08-21,1.073238,-1.183650,-1.062407,-0.121243
2010-08-22,1.075975,-1.197194,-1.056579,-0.140616
2010-08-23,1.078713,-1.187442,-1.050763,-0.136679
2010-08-24,1.081451,-1.182483,-1.044960,-0.137523
2010-08-25,1.084189,-1.184958,-1.039170,-0.145789
2010-08-26,1.086927,-1.189348,-1.033392,-0.155956
2010-08-27,1.089665,-1.191219,-1.027627,-0.163593
2010-08-28,1.092402,-1.188988,-1.021874,-0.167114
2010-08-29,1.095140,-1.191152,-1.016134,-0.175018
2010-08-30,1.097878,-1.200438,-1.010406,-0.190032
2010-08-31,1.100616,-1.200739,-1.004690,-0.196049
2010-09-01,1.103354,-1.215213,-0.998987,-0.216225
2010-09-02,1.106092,-1.214085,-0.993296,-0.220789
2010-09-03,1.108830,-1.209304,-0.987618,-0.221687
2010-09-04,1.111567,-1.211369,-0.981952,-0.229418
2010-09-05,1.114305,-1.207474,-0.976298,-0.231176
2010-09-06,1.117043,-1.209012,-0.970656,-0.238356
2010-09-07,1.119781,-1.212144,-0.965026,-0.247118
2010-09-08,1.122519,-1.213491,-0.959408,-0.254083
2010-09-09,1.125257,-1.211313,-0.953802,-0.257510
2010-09-10,1.127995,-1.215987,-0.948209,-0.267778
2010-09-11,1.130732,-1.202623,-0.942627,-0.259996
2010-09-12,1.133470,-1.209414,-0.937057,-0.272356
2010-09-13,1.136208,-1.209034,-0.931500,-0.277534
2010-09-14,1.138946,-1.191767,-0.925954,-0.265813
2010-09-15,1.141684,-1.213571,-0.920420,-0.293152
2010-09-16,1.144422,-1.208660,-0.914897,-0.293763
2010-09-17,1.147159,-1.217977,-0.909387,-0.308590
2010-09-18,1.149897,-1.219414,-0.903888,-0.315526
2010-09-19,1.152635,-1.208259,-0.898401,-0.309857
2010-09-20,1.155373,-1.204147,-0.892926,-0.311221
2010-09-21,1.158111,-1.201750,-0.887462,-0.314288
2010-09-22,1.160849,-1.206733,-0.882010,-0.324723
2010-09-23,1.163587,-1.205760,-0.876569,-0.329191
2010-09-24,1.166324,-1.206157,-0.871140,-0.335017
2010-09-25,1.169062,-1.207484,-0.865723,-0.341761
2010-09-26,1.171800,-1.207061,-0.860317,-0.346744
2010-09-27,1.174538,-1.206936,-0.854922,-0.352013
2010-09-28,1.177276,-1.207992,-0.849539,-0.358453
2010-09-29,1.180014,-1.208729,-0.844167,-0.364562
2010-09-30,1.182752,-1.209409,-0.838807,-0.370602
2010-10-01,1.185489,-1.207961,-0.833457,-0.374504
2010-10-02,1.188227,-1.211439,-0.828119,-0.383320
2010-10-03,1.190965,-1.212779,-0.822792,-0.389987
2010-10-04,1.193703,-1.213476,-0.817477,-0.395999
2010-10-05,1.196441,-1.210946,-0.812172,-0.398773
2010-10-06,1.199179,-1.202226,-0.806879,-0.395347
2010-10-07,1.201916,-1.194385,-0.801597,-0.392788
2010-10-08,1.204654,-1.115735,-0.796326,-0.319409
2010-10-09,1.207392,-1.071133,-0.791066,-0.280068
2010-10-10,1.210130,-1.015202,-0.785816,-0.229385
2010-10-11,1.212868,-1.021103,-0.780578,-0.240524
2010-10-12,1.215606,-1.037793,-0.775351,-0.262442
2010-10-13,1.218344,-1.018841,-0.770135,-0.248707
2010-10-14,1.221081,-1.000279,-0.764929,-0.235350
2010-10-15,1.223819,-0.993163,-0.759734,-0.233428
2010-10-16,1.226557,-0.993069,-0.754551,-0.238518
2010-10-17,1.229295,-0.989041,-0.749378,-0.239663
2010-10-18,1.232033,-0.992773,-0.744215,-0.248558
2010-10-19,1.234771,-0.999862,-0.739063,-0.260799
2010-10-20,1.237509,-1.010322,-0.733922,-0.276399
2010-10-21,1.240246,-0.994721,-0.728792,-0.265929
2010-10-22,1.242984,-0.979580,-0.723672,-0.255908
2010-10-23,1.245722,-0.965508,-0.718563,-0.246945
2010-10-24,1.248460,-0.910642,-0.713464,-0.197177
2010-10-25,1.251198,-0.886863,-0.708376,-0.178487
2010-10-26,1.253936,-0.808071,-0.703299,-0.104772
2010-10-27,1.256674,-0.757457,-0.698231,-0.059225
2010-10-28,1.259411,-0.733685,-0.693174,-0.040510
2010-10-29,1.262149,-0.734592,-0.688128,-0.046464
2010-10-30,1.264887,-0.720532,-0.683092,-0.037440
2010-10-31,1.267625,-0.711130,-0.678066,-0.033064
2010-11-01,1.270363,-0.719273,-0.673051,-0.046223
2010-11-02,1.273101,-0.714906,-0.668045,-0.046861
2010-11-03,1.275838,-0.739622,-0.663050,-0.076571
2010-11-04,1.278576,-0.679845,-0.658066,-0.021779
2010-11-05,1.281314,-0.628168,-0.653091,0.024923
2010-11-06,1.284052,-0.563113,-0.648126,0.085013
2010-11-07,1.286790,-0.442628,-0.643172,0.200544
2010-11-08,1.289528,-0.496265,-0.638228,0.141963
2010-11-09,1.292266,-0.586564,-0.633293,0.046730
2010-11-10,1.295003,-0.699427,-0.628369,-0.071058
2010-11-11,1.297741,-0.645351,-0.623455,-0.021896
2010-11-12,1.300479,-0.608745,-0.618551,0.009806
2010-11-13,1.303217,-0.554732,-0.613656,0.058924
2010-11-14,1.305955,-0.554094,-0.608772,0.054678
2010-11-15,1.308693,-0.556150,-0.603897,0.047747
2010-11-16,1.311431,-0.596388,-0.599032,0.002644
2010-11-17,1.314168,-0.601679,-0.594177,-0.007501
2010-11-18,1.316906,-0.597351,-0.589332,-0.008020
2010-11-19,1.319644,-0.565738,-0.584496,0.018759
2010-11-20,1.322382,-0.556570,-0.579671,0.023101
2010-11-21,1.325120,-0.556910,-0.574855,0.017945
2010-11-22,1.327858,-0.554676,-0.570048,0.015373
2010-11-23,1.330595,-0.549868,-0.565251,0.015384
2010-11-24,1.333333,-0.551416,-0.560464,0.009048
2010-11-25,1.336071,-0.551753,-0.555687,0.003934
2010-11-26,1.338809,-0.550418,-0.550918,0.000500
2010-11-27,1.341547,-0.548186,-0.546160,-0.002026
2010-11-28,1.344285,-0.555014,-0.541411,-0.013603
2010-11-29,1.347023,-0.590030,-0.536671,-0.053359
2010-11-30,1.349760,-0.666334,-0.531941,-0.134393
2010-12-01,1.352498,-0.660641,-0.527220,-0.133421
2010-12-02,1.355236,-0.626631,-0.522509,-0.104122
2010-12-03,1.357974,-0.606358,-0.517807,-0.088552
2010-12-04,1.360712,-0.618736,-0.513114,-0.105622
2010-12-05,1.363450,-0.673862,-0.508430,-0.165432
2010-12-06,1.366188,-0.701384,-0.503756,-0.197628
2010-12-07,1.368925,-0.679729,-0.499091,-0.180638
2010-12-08,1.371663,-0.636699,-0.494435,-0.142264
2010-12-09,1.374401,-0.687372,-0.489788,-0.197583
2010-12-10,1.377139,-0.712905,-0.485151,-0.227754
2010-12-11,1.379877,-0.657400,-0.480523,-0.176877
2010-12-12,1.382615,-0.663615,-0.475903,-0.187712
2010-12-13,1.385352,-0.656776,-0.471293,-0.185483
2010-12-14,1.388090,-0.641198,-0.466692,-0.174506
2010-12-15,1.390828,-0.616765,-0.462100,-0.154666
2010-12-16,1.393566,-0.620815,-0.457516,-0.163299
2010-12-17,1.396304,-0.609506,-0.452942,-0.156564
2010-12-18,1.399042,-0.607638,-0.448377,-0.159261
2010-12-19,1.401780,-0.610940,-0.443820,-0.167120
2010-12-20,1.404517,-0.592892,-0.439273,-0.153620
2010-12-21,1.407255,-0.588085,-0.434734,-0.153351
2010-12-22,1.409993,-0.604965,-0.430204,-0.174761
2010-12-23,1.412731,-0.604911,-0.425683,-0.179228
2010-12-24,1.415469,-0.603746,-0.421171,-0.182576
2010-12-25,1.418207,-0.603764,-0.416667,-0.187097
2010-12-26,1.420945,-0.592912,-0.412172,-0.180740
2010-12-27,1.423682,-0.589031,-0.407686,-0.181345
2010-12-28,1.426420,-0.568657,-0.403208,-0.165449
2010-12-29,1.429158,-0.537903,-0.398739,-0.139163
2010-12-30,1.431896,-0.529810,-0.394279,-0.135531
2010-12-31,1.434634,-0.527213,-0.389827,-0.137385
2011-01-01,1.437372,-0.527540,-0.385384,-0.142156
2011-01-02,1.440110,-0.527472,-0.380949,-0.146522
2011-01-03,1.442847,-0.532365,-0.376523,-0.155842
2011-01-04,1.445585,-0.530311,-0.372106,-0.158206
2011-01-05,1.448323,-0.529230,-0.367696,-0.161534
2011-01-06,1.451061,-0.527106,-0.363296,-0.163811
2011-01-07,1.453799,-0.504064,-0.358903,-0.145161
2011-01-08,1.456537,-0.501283,-0.354519,-0.146764
2011-01-09,1.459274,-0.490867,-0.350143,-0.140723
2011-01-10,1.462012,-0.486967,-0.345776,-0.141191
2011-01-11,1.464750,-0.486847,-0.341417,-0.145430
2011-01-12,1.467488,-0.478041,-0.337066,-0.140975
2011-01-13,1.470226,-0.434749,-0.332724,-0.102025
2011-01-14,1.472964,-0.426801,-0.328389,-0.098411
2011-01-15,1.475702,-0.406863,-0.324063,-0.082800
2011-01-16,1.478439,-0.404858,-0.319745,-0.085112
2011-01-17,1.481177,-0.421286,-0.315436,-0.105850
2011-01-18,1.483915,-0.475983,-0.311134,-0.164849
2011-01-19,1.486653,-0.506868,-0.306840,-0.200028
2011-01-20,1.489391,-0.466463,-0.302555,-0.163909
2011-01-21,1.492129,-0.406611,-0.298277,-0.108334
2011-01-22,1.494867,-0.376293,-0.294008,-0.082285
2011-01-23,1.497604,-0.359441,-0.289746,-0.069694
2011-01-24,1.500342,-0.387003,-0.285493,-0.101510
2011-01-25,1.503080,-0.380584,-0.281247,-0.099336
2011-01-26,1.505818,-0.387259,-0.277010,-0.110249
2011-01-27,1.508556,-0.382128,-0.272780,-0.109347
2011-01-28,1.511294,-0.364790,-0.268558,-0.096231
2011-01-29,1.514031,-0.355510,-0.264344,-0.091165
2011-01-30,1.516769,-0.334271,-0.260138,-0.074133
2011-01-31,1.519507,-0.299161,-0.255940,-0.043221
2011-02-01,1.522245,-0.169803,-0.251749,0.081946
2011-02-02,1.524983,-0.138724,-0.247567,0.108842
2011-02-03,1.527721,-0.146581,-0.243392,0.096810
2011-02-04,1.530459,-0.112253,-0.239224,0.126971
2011-02-05,1.533196,-0.057369,-0.235065,0.177696
2011-02-06,1.535934,-0.048091,-0.230913,0.182821
2011-02-07,1.538672,-0.059122,-0.226768,0.167647
2011-02-08,1.541410,-0.048685,-0.222632,0.173947
2011-02-09,1.544148,-0.031556,-0.218503,0.186947
2011-02-10,1.546886,0.014273,-0.214381,0.228654
2011-02-11,1.549624,-0.008160,-0.210267,0.202107
2011-02-12,1.552361,0.016917,-0.206161,0.223078
2011-02-13,1.555099,0.019073,-0.202062,0.221135
2011-02-14,1.557837,0.024990,-0.197970,0.222960
2011-02-15,1.560575,0.021352,-0.193886,0.215238
2011-02-16,1.563313,0.017040,-0.189810,0.206850
2011-02-17,1.566051,0.019582,-0.185741,0.205322
2011-02-18,1.568789,-0.000393,-0.181679,0.181286
2011-02-19,1.571526,-0.030536,-0.177624,0.147088
2011-02-20,1.574264,-0.061225,-0.173577,0.112352
2011-02-21,1.577002,-0.070227,-0.169538,0.099310
2011-02-22,1.579740,-0.063937,-0.165505,0.101568
2011-02-23,1.582478,-0.042629,-0.161480,0.118851
2011-02-24,1.585216,-0.024005,-0.157462,0.133457
2011-02-25,1.587953,-0.014352,-0.153452,0.139099
2011-02-26,1.590691,-0.025686,-0.149448,0.123762
2011-02-27,1.593429,-0.027454,-0.145452,0.117998
2011-02-28,1.596167,-0.048447,-0.141463,0.093015
2011-03-01,1.598905,-0.035885,-0.137481,0.101596
2011-03-02,1.601643,-0.034348,-0.133506,0.099158
2011-03-03,1.604381,-0.031299,-0.129538,0.098239
2011-03-04,1.607118,-0.038681,-0.125578,0.086897
2011-03-05,1.609856,-0.042696,-0.121624,0.078928
2011-03-06,1.612594,-0.071786,-0.117678,0.045892
2011-03-07,1.615332,-0.058269,-0.113738,0.055469
2011-03-08,1.618070,-0.059315,-0.109806,0.050491
2011-03-09,1.620808,-0.065679,-0.105880,0.040201
2011-03-10,1.623546,-0.062252,-0.101961,0.039710
2011-03-11,1.626283,-0.048146,-0.098050,0.049904
2011-03-12,1.629021,-0.046127,-0.094145,0.048018
2011-03-13,1.631759,-0.044803,-0.090247,0.045444
2011-03-14,1.634497,-0.050514,-0.086356,0.035843
2011-03-15,1.637235,-0.053972,-0.082472,0.028500
2011-03-16,1.639973,-0.064941,-0.078595,0.013654
