date,years,excess,fit,residual
2010-07-26,1.002053,0.276323,0.307757,-0.031434
2010-07-27,1.004791,0.315149,0.308461,0.006688
2010-07-28,1.007529,0.303992,0.309160,-0.005169
2010-07-29,1.010267,0.325445,0.309856,0.015589
2010-07-30,1.013005,0.345279,0.310546,0.034732
2010-07-31,1.015743,0.317580,0.311233,0.006347
2010-08-01,1.018480,0.301491,0.311915,-0.010424
2010-08-02,1.021218,0.301592,0.312593,-0.011001
2010-08-03,1.023956,0.294410,0.313266,-0.018856
2010-08-04,1.026694,0.284264,0.313935,-0.029672
2010-08-05,1.029432,0.273498,0.314600,-0.041102
2010-08-06,1.032170,0.281307,0.315261,-0.033953
2010-08-07,1.034908,0.265214,0.315917,-0.050703
2010-08-08,1.037645,0.256204,0.316569,-0.060365
2010-08-09,1.040383,0.283963,0.317217,-0.033254
2010-08-10,1.043121,0.306183,0.317861,-0.011677
2010-08-11,1.045859,0.298874,0.318501,-0.019626
2010-08-12,1.048597,0.281971,0.319136,-0.037166
2010-08-13,1.051335,0.264601,0.319767,-0.055167
2010-08-14,1.054073,0.265159,0.320395,-0.055236
2010-08-15,1.056810,0.254009,0.321018,-0.067009
2010-08-16,1.059548,0.245009,0.321637,-0.076628
2010-08-17,1.062286,0.249150,0.322252,-0.073102
2010-08-18,1.065024,0.260214,0.322864,-0.062649
2010-08-19,1.067762,0.242071,0.323471,-0.081400
2010-08-20,1.070500,0.226819,0.324074,-0.097255
2010-08-21,1.073238,0.218457,0.324673,-0.106216
2010-08-22,1.075975,0.199242,0.325269,-0.126026
2010-08-23,1.078713,0.203339,0.325860,-0.122521
2010-08-24,1.081451,0.202656,0.326448,-0.123791
2010-08-25,1.084189,0.194553,0.327031,-0.132478
2010-08-26,1.086927,0.184551,0.327611,-0.143060
2010-08-27,1.089665,0.177080,0.328187,-0.151107
2010-08-28,1.092402,0.173726,0.328759,-0.155034
2010-08-29,1.095140,0.165991,0.329328,-0.163336
2010-08-30,1.097878,0.151148,0.329892,-0.178744
2010-08-31,1.100616,0.145303,0.330453,-0.185150
2010-09-01,1.103354,0.125300,0.331010,-0.205710
2010-09-02,1.106092,0.120912,0.331564,-0.210652
2010-09-03,1.108830,0.120190,0.332113,-0.211923
2010-09-04,1.111567,0.112637,0.332659,-0.220023
2010-09-05,1.114305,0.111057,0.333202,-0.222145
2010-09-06,1.117043,0.104057,0.333740,-0.229683
2010-09-07,1.119781,0.095476,0.334276,-0.238799
2010-09-08,1.122519,0.088694,0.334807,-0.246113
2010-09-09,1.125257,0.085451,0.335335,-0.249884
2010-09-10,1.127995,0.075368,0.335859,-0.260491
2010-09-11,1.130732,0.083336,0.336380,-0.253044
2010-09-12,1.133470,0.071163,0.336897,-0.265734
2010-09-13,1.136208,0.066174,0.337411,-0.271237
2010-09-14,1.138946,0.078084,0.337921,-0.259837
2010-09-15,1.141684,0.050936,0.338428,-0.287493
2010-09-16,1.144422,0.050516,0.338932,-0.288416
2010-09-17,1.147159,0.035881,0.339432,-0.303551
2010-09-18,1.149897,0.029138,0.339928,-0.310790
2010-09-19,1.152635,0.035001,0.340421,-0.305420
2010-09-20,1.155373,0.033832,0.340911,-0.307079
2010-09-21,1.158111,0.030962,0.341397,-0.310436
2010-09-22,1.160849,0.020723,0.341880,-0.321157
2010-09-23,1.163587,0.016453,0.342360,-0.325907
2010-09-24,1.166324,0.010825,0.342836,-0.332011
2010-09-25,1.169062,0.004280,0.343309,-0.339029
2010-09-26,1.171800,-0.000503,0.343779,-0.344282
2010-09-27,1.174538,-0.005572,0.344246,-0.349817
2010-09-28,1.177276,-0.011810,0.344709,-0.356519
2010-09-29,1.180014,-0.017717,0.345169,-0.362886
2010-09-30,1.182752,-0.023555,0.345626,-0.369181
2010-10-01,1.185489,-0.027254,0.346079,-0.373333
2010-10-02,1.188227,-0.035865,0.346530,-0.382395
2010-10-03,1.190965,-0.042328,0.346977,-0.389305
2010-10-04,1.193703,-0.048135,0.347421,-0.395557
2010-10-05,1.196441,-0.050704,0.347862,-0.398566
2010-10-06,1.199179,-0.047071,0.348300,-0.395372
2010-10-07,1.201916,-0.044306,0.348735,-0.393041
2010-10-08,1.204654,0.029280,0.349167,-0.319887
2010-10-09,1.207392,0.068829,0.349596,-0.280766
2010-10-10,1.210130,0.119719,0.350021,-0.230302
2010-10-11,1.212868,0.108789,0.350444,-0.241655
2010-10-12,1.215606,0.087080,0.350864,-0.263783
2010-10-13,1.218344,0.101025,0.351280,-0.250255
2010-10-14,1.221081,0.114591,0.351694,-0.237102
2010-10-15,1.223819,0.116723,0.352105,-0.235382
2010-10-16,1.226557,0.111843,0.352512,-0.240669
2010-10-17,1.229295,0.110909,0.352917,-0.242008
2010-10-18,1.232033,0.102225,0.353319,-0.251094
2010-10-19,1.234771,0.090195,0.353718,-0.263523
2010-10-20,1.237509,0.074806,0.354114,-0.279308
2010-10-21,1.240246,0.085489,0.354508,-0.269019
2010-10-22,1.242984,0.095722,0.354898,-0.259176
2010-10-23,1.245722,0.104897,0.355286,-0.250389
2010-10-24,1.248460,0.154877,0.355671,-0.200794
2010-10-25,1.251198,0.173780,0.356053,-0.182273
2010-10-26,1.253936,0.247708,0.356432,-0.108724
2010-10-27,1.256674,0.293468,0.356808,-0.063341
2010-10-28,1.259411,0.312396,0.357182,-0.044786
2010-10-29,1.262149,0.306655,0.357553,-0.050898
2010-10-30,1.264887,0.315893,0.357921,-0.042028
2010-10-31,1.267625,0.320483,0.358287,-0.037804
2010-11-01,1.270363,0.307537,0.358650,-0.051112
2010-11-02,1.273101,0.307113,0.359010,-0.051897
2010-11-03,1.275838,0.277616,0.359367,-0.081751
2010-11-04,1.278576,0.332622,0.359722,-0.027100
2010-11-05,1.281314,0.379538,0.360074,0.019464
2010-11-06,1.284052,0.439842,0.360424,0.079418
2010-11-07,1.286790,0.555587,0.360771,0.194816
2010-11-08,1.289528,0.497220,0.361115,0.136105
2010-11-09,1.292266,0.402200,0.361457,0.040743
2010-11-10,1.295003,0.284627,0.361797,-0.077170
2010-11-11,1.297741,0.334002,0.362133,-0.028131
2010-11-12,1.300479,0.365918,0.362468,0.003450
2010-11-13,1.303217,0.415250,0.362799,0.052451
2010-11-14,1.305955,0.411217,0.363129,0.048089
2010-11-15,1.308693,0.404500,0.363455,0.041044
2010-11-16,1.311431,0.359611,0.363780,-0.004169
2010-11-17,1.314168,0.349679,0.364102,-0.014423
2010-11-18,1.316906,0.349374,0.364421,-0.015047
2010-11-19,1.319644,0.376365,0.364738,0.011627
2010-11-20,1.322382,0.380921,0.365052,0.015868
2010-11-21,1.325120,0.375977,0.365365,0.010613
2010-11-22,1.327858,0.373618,0.365674,0.007943
2010-11-23,1.330595,0.373841,0.365982,0.007860
2010-11-24,1.333333,0.367718,0.366287,0.001431
2010-11-25,1.336071,0.362816,0.366590,-0.003773
2010-11-26,1.338809,0.359594,0.366890,-0.007296
2010-11-27,1.341547,0.357280,0.367188,-0.009908
2010-11-28,1.344285,0.345915,0.367484,-0.021569
2010-11-29,1.347023,0.306370,0.367777,-0.061407
2010-11-30,1.349760,0.225547,0.368068,-0.142521
2010-12-01,1.352498,0.226730,0.368357,-0.141627
2010-12-02,1.355236,0.256240,0.368644,-0.112404
2010-12-03,1.357974,0.272020,0.368929,-0.096908
2010-12-04,1.360712,0.255160,0.369211,-0.114051
2010-12-05,1.363450,0.195560,0.369491,-0.173931
2010-12-06,1.366188,0.163574,0.369769,-0.206195
2010-12-07,1.368925,0.180773,0.370044,-0.189272
2010-12-08,1.371663,0.219355,0.370318,-0.150963
2010-12-09,1.374401,0.164245,0.370589,-0.206344
2010-12-10,1.377139,0.134283,0.370859,-0.236576
2010-12-11,1.379877,0.185367,0.371126,-0.185758
2010-12-12,1.382615,0.174740,0.371391,-0.196651
2010-12-13,1.385352,0.177177,0.371654,-0.194477
2010-12-14,1.388090,0.188360,0.371914,-0.183554
2010-12-15,1.390828,0.208408,0.372173,-0.163765
2010-12-16,1.393566,0.199981,0.372430,-0.172449
2010-12-17,1.396304,0.206921,0.372684,-0.165763
2010-12-18,1.399042,0.204430,0.372937,-0.168507
2010-12-19,1.401780,0.196776,0.373188,-0.176411
2010-12-20,1.404517,0.210482,0.373436,-0.162954
2010-12-21,1.407255,0.210955,0.373683,-0.162728
2010-12-22,1.409993,0.189749,0.373927,-0.184178
2010-12-23,1.412731,0.185485,0.374170,-0.188685
2010-12-24,1.415469,0.182341,0.374410,-0.192070
2010-12-25,1.418207,0.178022,0.374649,-0.196627
2010-12-26,1.420945,0.184582,0.374886,-0.190304
2010-12-27,1.423682,0.184179,0.375121,-0.190942
2010-12-28,1.426420,0.200276,0.375354,-0.175077
2010-12-29,1.429158,0.226763,0.375585,-0.148821
2010-12-30,1.431896,0.230596,0.375814,-0.145218
2010-12-31,1.434634,0.228942,0.376041,-0.147099
2011-01-01,1.437372,0.224371,0.376266,-0.151895
2011-01-02,1.440110,0.220205,0.376490,-0.156285
2011-01-03,1.442847,0.211084,0.376712,-0.165628
2011-01-04,1.445585,0.208918,0.376932,-0.168013
2011-01-05,1.448323,0.205788,0.377150,-0.171361
2011-01-06,1.451061,0.203709,0.377366,-0.173657
2011-01-07,1.453799,0.222555,0.377580,-0.155025
2011-01-08,1.456537,0.221149,0.377793,-0.156644
2011-01-09,1.459274,0.227386,0.378004,-0.150618
2011-01-10,1.462012,0.227114,0.378213,-0.151099
2011-01-11,1.464750,0.223070,0.378420,-0.155351
2011-01-12,1.467488,0.227719,0.378626,-0.150907
2011-01-13,1.470226,0.266863,0.378830,-0.111967
2011-01-14,1.472964,0.270671,0.379032,-0.108362
2011-01-15,1.475702,0.286475,0.379233,-0.092758
2011-01-16,1.478439,0.284355,0.379432,-0.095077
2011-01-17,1.481177,0.263809,0.379629,-0.115820
2011-01-18,1.483915,0.205002,0.379824,-0.174822
2011-01-19,1.486653,0.170014,0.380018,-0.210004
2011-01-20,1.489391,0.206324,0.380210,-0.173887
2011-01-21,1.492129,0.262089,0.380401,-0.118312
2011-01-22,1.494867,0.288327,0.380590,-0.092263
2011-01-23,1.497604,0.301106,0.380777,-0.079671
2011-01-24,1.500342,0.269479,0.380963,-0.111484
2011-01-25,1.503080,0.271840,0.381147,-0.109307
2011-01-26,1.505818,0.261115,0.381330,-0.120215
2011-01-27,1.508556,0.262203,0.381511,-0.119308
2011-01-28,1.511294,0.275505,0.381690,-0.106185
2011-01-29,1.514031,0.280757,0.381868,-0.101111
2011-01-30,1.516769,0.297974,0.382045,-0.084070
2011-01-31,1.519507,0.329071,0.382219,-0.053148
2011-02-01,1.522245,0.454422,0.382393,0.072029
2011-02-02,1.524983,0.481502,0.382565,0.098937
2011-02-03,1.527721,0.469653,0.382735,0.086918
2011-02-04,1.530459,0.499996,0.382904,0.117092
2011-02-05,1.533196,0.550902,0.383071,0.167831
2011-02-06,1.535934,0.556209,0.383237,0.172972
2011-02-07,1.538672,0.541215,0.383401,0.157813
2011-02-08,1.541410,0.547695,0.383564,0.164130
2011-02-09,1.544148,0.560874,0.383726,0.177148
2011-02-10,1.546886,0.602760,0.383886,0.218873
2011-02-11,1.549624,0.576391,0.384045,0.192346
2011-02-12,1.552361,0.597540,0.384202,0.213337
2011-02-13,1.555099,0.595774,0.384358,0.211415
2011-02-14,1.557837,0.597775,0.384513,0.213263
2011-02-15,1.560575,0.590230,0.384666,0.205564
2011-02-16,1.563313,0.582016,0.384818,0.197199
2011-02-17,1.566051,0.580664,0.384968,0.195695
2011-02-18,1.568789,0.556802,0.385117,0.171684
2011-02-19,1.571526,0.522777,0.385265,0.137512
2011-02-20,1.574264,0.488214,0.385412,0.102803
2011-02-21,1.577002,0.475345,0.385557,0.089788
2011-02-22,1.579740,0.477775,0.385701,0.092074
2011-02-23,1.582478,0.495228,0.385843,0.109385
2011-02-24,1.585216,0.510005,0.385984,0.124021
2011-02-25,1.587953,0.515817,0.386124,0.129693
