end_date,t_end,A_sup,B_sup,r2_sup,sigma_sup,n_bubbles,mean_K,max_K
2017-07-25 18:00:00.000000000,8.002053,-1.403548,4.793332,0.819514,0.354862,3,1.053520,1.567877
2017-08-25 04:30:00.000000064,8.085387,-1.413629,4.810180,0.806007,0.355268,3,1.097071,1.573368
2017-09-24 15:00:00.000000064,8.168720,-1.344682,4.710755,0.794428,0.353000,3,1.096681,1.531510
2017-10-25 01:30:00.000000128,8.252053,-1.303022,4.654103,0.779422,0.350778,3,1.088078,1.505286
2017-11-24 12:00:00.000000128,8.335387,-1.304611,4.658220,0.763842,0.354368,3,1.087265,1.505753
2017-12-24 22:30:00.000000128,8.418720,-1.321368,4.688404,0.743083,0.362335,3,1.086409,1.514286
2018-01-24 09:00:00.000000128,8.502053,-1.378646,4.787889,0.726511,0.370285,2,0.856227,1.002697
2018-02-23 19:30:00.000000128,8.585387,-1.404745,4.838601,0.717365,0.375013,2,0.844848,0.999923
2018-03-26 06:00:00.000000192,8.668720,-1.442011,4.906551,0.708725,0.379417,2,0.831897,0.998501
2018-04-25 16:30:00.000000192,8.752053,-1.442938,4.908086,0.693777,0.380902,2,0.831690,0.998555
2018-05-26 03:00:00.000000224,8.835387,-1.527979,5.029795,0.694293,0.380363,2,0.826785,1.014301
2018-06-25 13:30:00.000000224,8.918720,-1.573576,5.089460,0.712120,0.366627,2,0.828288,1.025928
2018-07-26 00:00:00.000000224,9.002053,-1.614956,5.144892,0.728330,0.354308,2,0.828702,1.035747
2018-08-25 10:30:00.000000224,9.085387,-1.649632,5.191768,0.738429,0.346340,2,0.828736,1.043734
2018-09-24 21:00:00.000000256,9.168720,-1.665640,5.213284,0.740260,0.343340,2,0.828843,1.047493
2018-10-25 07:30:00.000000256,9.252053,-1.677394,5.229461,0.735024,0.342746,2,0.828642,1.050037
2018-11-24 18:00:00.000000320,9.335387,-1.672232,5.222659,0.724455,0.342636,2,0.828506,1.048746
2018-12-25 04:30:00.000000320,9.418720,-1.662800,5.209197,0.712536,0.342994,2,0.829023,1.046979
2019-01-24 15:00:00.000000384,9.502053,-1.658694,5.203909,0.704969,0.343699,2,0.828825,1.045884
2019-02-24 01:30:00.000000384,9.585387,-1.652501,5.195804,0.693799,0.344556,2,0.828622,1.044305
2019-03-26 12:00:00.000000448,9.668720,-1.636486,5.174590,0.679871,0.344830,2,0.828285,1.040369
2019-04-25 22:30:00.000000448,9.752053,-1.616830,5.147513,0.662012,0.343945,2,0.828640,1.036130
2019-05-26 09:00:00.000000448,9.835387,-1.613609,5.143605,0.643910,0.341970,2,0.828307,1.035133
2019-06-25 19:30:00.000000448,9.918720,-1.601499,5.130664,0.625174,0.339756,2,0.825761,1.030392
2019-07-26 06:00:00.000000448,10.002053,-1.609983,5.141850,0.605384,0.338395,2,0.825978,1.032507
2019-08-25 16:30:00.000000448,10.085387,-1.608829,5.140163,0.586817,0.337642,2,0.826070,1.032313
2019-09-25 03:00:00.000000512,10.168720,-1.608832,5.140167,0.565516,0.336441,2,0.826070,1.032313
2019-10-25 13:30:00.000000512,10.252053,-1.619267,5.154047,0.542943,0.335171,2,0.826248,1.034846
2019-11-25 00:00:00.000000512,10.335387,-1.589669,5.119627,0.516110,0.331701,2,0.822087,1.024845
2019-12-25 10:30:00.000000512,10.418720,-1.489515,5.002649,0.494100,0.326702,2,0.808382,0.991292
2020-01-24 21:00:00.000000512,10.502053,-1.276772,4.747328,0.466308,0.318675,1,0.644740,0.644740
2020-02-24 07:30:00.000000576,10.585387,-1.250920,4.719219,0.439770,0.315735,1,0.644431,0.644431
