end_date,t_end,A,B,C1,W_log,PHI1,D,C2,W_cal,PHI2,sigma,r2
2015-07-26 06:00:00.000000000,6.002053,-1.485556,5.743445,0.281576,12.190221,-1.500272,0.365286,0.545255,2.451018,1.730155,0.172795,0.977493
2015-08-25 16:30:00.000000000,6.085387,-0.847633,4.710935,1.268017,5.525788,2.065299,0.852106,0.685800,1.738210,-1.251017,0.184844,0.972176
2015-09-25 03:00:00.000000000,6.168720,-1.496780,5.742302,0.241986,12.782783,-2.120886,0.136776,0.545921,2.464471,1.693220,0.172046,0.973560
2015-10-25 13:29:59.999999936,6.252053,-1.399895,5.569103,0.785393,12.345915,-1.798545,1.525869,0.510448,2.310798,2.164847,0.167044,0.972438
2015-11-24 23:59:59.999999936,6.335387,-1.315232,5.425120,1.221081,12.630792,-2.084692,2.000000,0.495006,2.240166,2.449592,0.163074,0.971808
2015-12-25 10:29:59.999999936,6.418720,-1.044838,4.826209,0.509044,7.423325,1.460153,0.010000,0.114818,7.391544,-2.066298,0.167794,0.967597
2016-01-24 20:59:59.999999936,6.502053,-1.055351,4.999594,1.385835,15.667937,1.960538,2.000000,0.476785,2.052949,-3.095328,0.151458,0.971399
2016-02-24 07:29:59.999999904,6.585387,-0.996609,4.898719,1.404592,16.348809,1.461609,2.000000,0.488067,2.024188,-2.985485,0.149932,0.970145
2016-03-25 17:59:59.999999904,6.668720,-0.957919,4.833134,1.370057,16.440621,1.395960,2.000000,0.491219,2.004300,-2.908751,0.150635,0.967844
2016-04-25 04:29:59.999999904,6.752053,-0.875953,4.705268,1.141048,16.073818,1.821743,2.000000,0.498787,1.982302,-2.827659,0.144200,0.968309
2016-05-25 14:59:59.999999904,6.835387,0.058096,3.000000,2.128728,5.450120,-2.244871,0.911890,0.210868,2.970944,-1.253240,0.131489,0.972958
2016-06-25 01:29:59.999999904,6.918720,-0.854351,4.660459,1.244270,30.633149,-2.767139,2.000000,0.492730,1.948377,-2.675295,0.134532,0.971807
2016-07-25 11:59:59.999999872,7.002053,0.087696,3.000000,2.788785,5.293954,-2.046095,1.163874,0.231450,2.802959,-0.516733,0.130327,0.973612
2016-08-24 22:29:59.999999872,7.085387,-0.901027,4.708491,0.290191,34.271587,-0.802622,0.612211,0.477950,1.875911,-2.344625,0.114715,0.979412
2016-09-24 08:59:59.999999872,7.168720,-0.886675,4.678215,0.228379,34.180146,-0.747191,0.429493,0.473616,1.847685,-2.227404,0.117950,0.977723
2016-10-24 19:29:59.999999872,7.252053,-0.855858,4.624582,0.212774,33.954476,-0.508600,0.365652,0.469924,1.824929,-2.142995,0.122663,0.974857
2016-11-24 05:59:59.999999840,7.335387,-2.195061,6.109532,0.326654,10.399410,-2.905504,0.010000,0.576999,0.729477,3.141593,0.131318,0.969441
2016-12-24 16:29:59.999999840,7.418720,-0.841344,4.584467,0.223647,33.254734,0.367286,0.389371,0.460082,1.763160,-1.880258,0.131930,0.967153
2017-01-24 02:59:59.999999840,7.502053,-2.645399,6.734540,0.300321,11.007380,2.434044,0.010000,0.671671,0.755504,3.141593,0.128677,0.967404
