end_date,t_end,A,B,C,W_cal,PHI,D,sigma,r2
2015-07-26 06:00:00.000000000,6.002053,-1.463702,5.710301,0.473935,2.349029,2.009691,0.010000,0.204773,0.968392
2015-08-25 16:30:00.000000000,6.085387,-1.494014,5.754317,0.493165,2.359862,1.950391,0.020290,0.202103,0.966738
2015-09-25 03:00:00.000000000,6.168720,-1.487098,5.727251,0.492268,2.344562,1.983311,0.010000,0.205141,0.962410
2015-10-25 13:29:59.999999936,6.252053,-1.454096,5.656040,0.490922,2.312040,2.091654,0.010000,0.207784,0.957355
2015-11-24 23:59:59.999999936,6.335387,-1.443095,5.626360,0.491500,2.295851,2.137096,0.010000,0.209857,0.953313
2015-12-25 10:29:59.999999936,6.418720,-1.377541,5.512188,0.487113,2.247316,2.338379,0.010000,0.208201,0.950111
2016-01-24 20:59:59.999999936,6.502053,-1.254661,5.311858,0.485093,2.170151,2.678995,0.010000,0.201476,0.949389
2016-02-24 07:29:59.999999904,6.585387,-1.125967,5.104183,0.489029,2.099331,2.985598,0.010000,0.197319,0.948292
2016-03-25 17:59:59.999999904,6.668720,-0.976416,4.867951,0.548564,2.039724,-3.042441,0.075472,0.186399,0.950762
2016-04-25 04:29:59.999999904,6.752053,-0.702815,4.437399,1.079596,1.954286,-2.689074,0.536767,0.155917,0.962949
2016-05-25 14:59:59.999999904,6.835387,-0.484646,4.102053,1.776555,1.900002,-2.483964,0.882926,0.145696,0.966798
2016-06-25 01:29:59.999999904,6.918720,-0.510005,4.137777,1.633452,1.898353,-2.476631,0.824843,0.143795,0.967792
2016-07-25 11:59:59.999999872,7.002053,-0.589261,4.250824,1.284085,1.892088,-2.444902,0.662006,0.141758,0.968780
2016-08-24 22:29:59.999999872,7.085387,-0.640855,4.317819,1.066385,1.863630,-2.320523,0.542896,0.140563,0.969089
2016-09-24 08:59:59.999999872,7.168720,-0.612748,4.266975,1.101456,1.831882,-2.191445,0.571609,0.142452,0.967506
2016-10-24 19:29:59.999999872,7.252053,-0.457861,4.036742,1.531509,1.823266,-2.188898,0.797583,0.144331,0.965189
2016-11-24 05:59:59.999999840,7.335387,-0.193002,3.659071,2.659332,1.850790,-2.366742,1.172997,0.141436,0.964551
2016-12-24 16:29:59.999999840,7.418720,-0.084241,3.505123,3.000000,1.878631,-2.523986,1.250663,0.137070,0.964543
2017-01-24 02:59:59.999999840,7.502053,-0.065268,3.475187,3.000000,1.874932,-2.516822,1.252285,0.137510,0.962775
2017-02-23 13:29:59.999999840,7.585387,-0.046366,3.445950,3.000000,1.873008,-2.516627,1.254628,0.138205,0.960330
2017-03-25 23:59:59.999999776,7.668720,-0.022625,3.411175,3.000000,1.877589,-2.545699,1.256782,0.138617,0.957612
2017-04-25 10:29:59.999999776,7.752053,0.016683,3.354504,3.000000,1.888188,-2.605369,1.260700,0.139231,0.953936
2017-05-25 20:59:59.999999776,7.835387,0.067020,3.287585,3.000000,1.914080,-2.736220,1.262604,0.138938,0.950663
2017-06-25 07:29:59.999999776,7.918720,0.100810,3.248740,3.000000,1.936519,-2.852099,1.261420,0.140226,0.946210
2017-07-25 17:59:59.999999776,8.002053,0.082080,3.278646,3.000000,1.929937,-2.822772,1.258619,0.141304,0.941644
2017-08-25 04:29:59.999999776,8.085387,-0.180273,3.631190,3.000000,1.827856,-2.297779,1.232047,0.143718,0.937097
2017-09-24 14:59:59.999999776,8.168720,-0.679825,4.290719,3.000000,1.675024,-1.499528,1.170106,0.144322,0.933655
2017-10-25 01:29:59.999999776,8.252053,-1.233434,5.018194,3.000000,1.546077,-0.827461,1.095591,0.143524,0.931665
2017-11-24 11:59:59.999999776,8.335387,-1.754537,5.704506,3.000000,1.445097,-0.293838,1.028071,0.145219,0.926652
2017-12-24 22:29:59.999999744,8.418720,-2.736127,7.000000,3.000000,1.293004,0.528248,0.907682,0.150727,0.920860
2018-01-24 08:59:59.999999744,8.502053,-2.729921,7.000000,3.000000,1.288203,0.574169,0.905967,0.150974,0.919575
2018-02-23 19:29:59.999999776,8.585387,-2.725840,7.000000,3.000000,1.272817,0.673433,0.907248,0.149609,0.919631
2018-03-26 05:59:59.999999776,8.668720,-2.724995,7.000000,3.000000,1.263228,0.730508,0.909199,0.149927,0.920405
2018-04-25 16:29:59.999999712,8.752053,-2.343817,6.484990,3.000000,1.350303,0.227544,0.957365,0.148548,0.924484
2018-05-26 02:59:59.999999712,8.835387,-2.125338,6.189062,3.000000,1.414396,-0.143215,0.983538,0.147578,0.928194
2018-06-25 13:29:59.999999776,8.918720,-1.928876,5.927100,3.000000,1.467947,-0.442271,1.005158,0.149451,0.927435
2018-07-25 23:59:59.999999712,9.002053,-1.775366,5.733811,3.000000,1.480711,-0.481796,1.017774,0.149975,0.926683
2018-08-25 10:29:59.999999648,9.085387,-1.623350,5.551595,3.000000,1.469925,-0.366900,1.023949,0.147677,0.928780
2018-09-24 20:59:59.999999616,9.168720,-0.497979,4.207163,0.463477,1.407830,0.263099,0.010000,0.142643,0.933584
2018-10-25 07:29:59.999999680,9.252053,0.039692,3.588070,0.494648,1.317745,0.979038,0.010000,0.126152,0.947968
2018-11-24 17:59:59.999999616,9.335387,0.532158,3.015735,0.528816,1.258162,1.468373,0.010000,0.118763,0.954618
2018-12-25 04:29:59.999999552,9.418720,0.310891,3.254078,0.506466,1.322294,1.021580,0.010000,0.122603,0.952345
2019-01-24 14:59:59.999999552,9.502053,0.057446,3.538212,0.486513,1.377382,0.620041,0.010000,0.123918,0.952023
2019-02-24 01:29:59.999999616,9.585387,-0.161113,3.785546,0.471182,1.422032,0.288432,0.010000,0.124334,0.952234
