end_date,t_end,A,B,C,W,PHI,D,sigma,r2
2015-07-26 06:00:00.000000000,6.002053,-1.020587,4.777017,0.507567,7.371962,1.530414,0.010000,0.192082,0.972188
2015-08-25 16:30:00.000000000,6.085387,-1.005435,4.755253,0.507546,7.419317,1.459472,0.010000,0.191087,0.970265
2015-09-25 03:00:00.000000000,6.168720,-0.990478,4.732410,0.506120,7.455585,1.405379,0.010000,0.190505,0.967582
2015-10-25 13:29:59.999999936,6.252053,-0.988905,4.731467,0.504853,7.463299,1.393630,0.010000,0.190212,0.964263
2015-11-24 23:59:59.999999936,6.335387,-1.043592,4.826981,0.511809,7.471438,1.392617,0.010000,0.185675,0.963452
2015-12-25 10:29:59.999999936,6.418720,-1.079765,4.897825,0.509678,7.503507,1.355395,0.010000,0.186026,0.960172
2016-01-24 20:59:59.999999936,6.502053,-1.104166,4.948235,0.540981,7.536473,1.319888,0.064235,0.187449,0.956191
2016-02-24 07:29:59.999999904,6.585387,-1.150116,5.032830,0.593233,7.636032,1.195479,0.136627,0.186588,0.953762
2016-03-25 17:59:59.999999904,6.668720,-1.137820,5.014517,0.607319,7.597749,1.252087,0.158631,0.185957,0.950996
2016-04-25 04:29:59.999999904,6.752053,-0.983951,4.750610,0.690484,7.224230,1.755599,0.250804,0.175225,0.953205
2016-05-25 14:59:59.999999904,6.835387,-0.903045,4.615796,0.797705,7.050436,1.988456,0.354032,0.173150,0.953106
2016-06-25 01:29:59.999999904,6.918720,-1.161329,5.060549,0.557920,7.569043,1.315121,0.120489,0.169248,0.955380
2016-07-25 11:59:59.999999872,7.002053,-1.329808,5.334915,0.467241,7.879017,0.895022,0.010000,0.160690,0.959885
2016-08-24 22:29:59.999999872,7.085387,-1.370589,5.389848,0.460989,7.884147,0.887296,0.010000,0.156516,0.961674
2016-09-24 08:59:59.999999872,7.168720,-1.358063,5.365860,0.460382,7.833041,0.956095,0.010000,0.156288,0.960887
2016-10-24 19:29:59.999999872,7.252053,-1.320058,5.309667,0.465200,7.859284,0.899419,0.010000,0.154065,0.960335
2016-11-24 05:59:59.999999840,7.335387,-1.265741,5.234909,0.472841,7.981052,0.690124,0.010000,0.147075,0.961667
2016-12-24 16:29:59.999999840,7.418720,-1.202993,5.147623,0.479030,8.107014,0.470431,0.010000,0.140434,0.962782
