end_date,t_end,A,B,C1,W1,PHI1,D,C2,W2,PHI2,sigma,r2
2015-07-26 06:00:00.000000000,6.002053,-1.027916,4.808439,0.251252,14.950361,2.555101,0.476213,0.485514,7.356268,1.521891,0.158059,0.981168
2015-08-25 16:30:00.000000000,6.085387,-1.047060,4.847547,0.478697,7.282043,1.610542,0.010000,0.156384,14.859132,2.669054,0.159665,0.979240
2015-09-25 03:00:00.000000000,6.168720,-1.048959,4.834290,0.345826,15.034460,2.460785,0.749596,0.494587,7.313501,1.594538,0.156515,0.978118
2015-10-25 13:29:59.999999936,6.252053,-1.027234,4.799097,0.374129,14.866406,2.661894,0.806601,0.488849,7.318350,1.585506,0.155284,0.976183
2015-11-24 23:59:59.999999936,6.335387,-1.038758,4.823208,0.330692,14.866351,2.674522,0.688708,0.485895,7.321324,1.578962,0.155442,0.974385
2015-12-25 10:29:59.999999936,6.418720,-1.073301,4.896965,0.498748,7.338402,1.545064,0.041032,0.151548,14.714568,2.855653,0.157764,0.971355
2016-01-24 20:59:59.999999936,6.502053,-1.040896,4.831833,1.094112,20.837123,-1.309812,2.000000,0.497990,7.356453,1.554168,0.158303,0.968755
2016-02-24 07:29:59.999999904,6.585387,-1.022984,4.804211,1.186176,20.940035,-1.436384,2.000000,0.493182,7.296972,1.636632,0.156827,0.967336
2016-03-25 17:59:59.999999904,6.668720,-1.532515,5.736598,3.000000,9.192917,-0.243108,1.362788,0.434909,11.637514,0.527419,0.142387,0.971269
2016-04-25 04:29:59.999999904,6.752053,-1.442631,5.580533,3.000000,8.863049,0.172289,1.402854,0.402825,11.344416,1.002029,0.139433,0.970370
2016-05-25 14:59:59.999999904,6.835387,-0.884457,4.610250,1.244619,6.943526,2.111467,0.734701,0.181967,12.858433,-0.730169,0.131876,0.972798
2016-06-25 01:29:59.999999904,6.918720,-1.341572,5.385081,1.766707,13.602134,-2.248028,2.000000,0.483848,8.251971,0.358212,0.133177,0.972373
2016-07-25 11:59:59.999999872,7.002053,-1.370040,5.427901,1.669586,13.421606,-2.067934,2.000000,0.484051,8.304435,0.285376,0.132070,0.972902
2016-08-24 22:29:59.999999872,7.085387,-1.217909,5.141252,0.136003,13.663400,-1.863150,0.010000,0.446246,7.460188,1.429197,0.130252,0.973458
2016-09-24 08:59:59.999999872,7.168720,-0.516442,4.014461,2.081311,6.119902,-3.141593,1.100023,0.214621,12.113178,0.531869,0.128864,0.973409
2016-10-24 19:29:59.999999872,7.252053,-0.685050,4.257965,1.298403,6.277091,2.974608,0.754578,0.198989,12.298812,0.297005,0.128601,0.972363
2016-11-24 05:59:59.999999840,7.335387,-0.705228,4.319114,1.301719,6.846691,2.164604,0.722247,0.163957,13.269367,-1.250376,0.127230,0.971314
2016-12-24 16:29:59.999999840,7.418720,-1.108973,4.992963,0.105934,16.026703,0.718719,0.010000,0.477592,7.942624,0.652732,0.123529,0.971203
2017-01-24 02:59:59.999999840,7.502053,-1.104279,4.988586,0.105182,16.241940,0.364034,0.010000,0.478944,7.988496,0.582343,0.122901,0.970264
2017-02-23 13:29:59.999999840,7.585387,-1.102518,4.986603,0.104721,16.276979,0.307329,0.010000,0.479067,7.999359,0.565396,0.122855,0.968653
2017-03-25 23:59:59.999999776,7.668720,-1.108405,4.994729,0.104913,16.215401,0.405039,0.010000,0.478992,7.985738,0.588479,0.122982,0.966634
2017-04-25 10:29:59.999999776,7.752053,-0.794841,4.537399,0.969216,8.264283,0.100923,0.469106,0.096703,16.891633,-0.859557,0.122400,0.964400
2017-05-25 20:59:59.999999776,7.835387,-1.068369,4.947049,0.097813,16.907735,-0.713440,0.010000,0.480565,8.187250,0.271424,0.123715,0.960882
2017-06-25 07:29:59.999999776,7.918720,-0.792327,4.580157,0.101544,21.237217,-1.985499,0.010000,0.464221,8.923852,-0.934771,0.122100,0.959217
2017-07-25 17:59:59.999999776,8.002053,-0.709542,4.465090,0.104206,21.657694,-2.773556,0.010000,0.456723,9.048944,-1.151456,0.121108,0.957133
2017-08-25 04:29:59.999999776,8.085387,-1.179483,5.112797,0.096034,18.366115,-3.141593,0.010000,0.502746,8.303580,0.121879,0.123480,0.953565
2017-09-24 14:59:59.999999776,8.168720,-1.220621,5.169437,0.111186,20.371389,-0.435557,0.010000,0.509582,8.362779,0.025999,0.118332,0.955399
2017-10-25 01:29:59.999999776,8.252053,-2.148493,6.441409,0.123684,19.950423,0.237084,0.010000,0.620189,7.437131,1.601629,0.113210,0.957483
2017-11-24 11:59:59.999999776,8.335387,-2.558702,7.000000,0.143262,20.116198,-0.106234,0.075939,0.675367,7.158606,2.066603,0.111174,0.957012
2017-12-24 22:29:59.999999744,8.418720,-2.557303,7.000000,0.134239,20.345685,-0.493031,0.010000,0.678271,7.220128,1.966401,0.113743,0.954932
2018-01-24 08:59:59.999999744,8.502053,-2.333473,7.000000,2.999996,4.116870,3.141592,1.173036,0.941544,6.445380,3.141593,0.143873,0.926962
2018-02-23 19:29:59.999999776,8.585387,-2.543834,7.000000,1.073372,20.132307,-0.015432,1.191261,0.678296,6.971128,2.423064,0.110087,0.956485
2018-03-26 05:59:59.999999776,8.668720,-2.531809,7.000000,3.000000,20.178499,-0.067535,1.782783,0.680347,6.762099,2.805326,0.108540,0.958284
2018-04-25 16:29:59.999999712,8.752053,-1.613786,5.731970,3.000000,20.405178,-0.355175,1.819915,0.553783,7.579264,1.417853,0.112515,0.956676
2018-05-26 02:59:59.999999712,8.835387,-0.762926,4.511580,0.194784,15.285489,-3.141593,0.010000,0.549642,10.281806,2.884601,0.124201,0.949141
2018-06-25 13:29:59.999999776,8.918720,-0.441212,4.088846,0.153620,19.353312,1.939902,0.010000,0.440837,10.013878,-2.819851,0.109044,0.961369
2018-07-25 23:59:59.999999712,9.002053,-0.254289,3.807567,0.280015,17.012494,0.129161,0.010000,0.533326,11.692650,0.435483,0.108974,0.961291
2018-08-25 10:29:59.999999648,9.085387,-0.189571,3.703310,0.895855,15.378074,3.141593,0.010000,1.115417,13.383801,-2.639686,0.106983,0.962623
2018-09-24 20:59:59.999999616,9.168720,-0.199264,3.712664,0.994301,15.372844,3.141593,0.010000,1.207715,13.533296,-2.919350,0.106404,0.963044
2018-10-25 07:29:59.999999680,9.252053,-0.127449,3.634042,0.691847,15.402010,3.141593,0.010000,0.925527,12.954982,-1.824330,0.103731,0.964820
2018-11-24 17:59:59.999999616,9.335387,-0.035494,3.525283,1.165273,14.610583,-1.643200,0.010000,1.400665,13.132369,-2.101118,0.101080,0.967125
2018-12-25 04:29:59.999999552,9.418720,0.525534,3.000000,0.142096,25.000000,-2.999101,0.010000,0.494269,8.042938,1.059769,0.101784,0.967156
2019-01-24 14:59:59.999999552,9.502053,-0.626645,4.222988,0.535631,16.865798,0.186947,0.010000,0.735522,13.561336,-3.141593,0.090152,0.974607
2019-02-24 01:29:59.999999616,9.585387,-0.905650,4.568542,0.244192,19.653986,1.140125,0.010000,0.435339,12.423391,-1.134948,0.082971,0.978729
