end_date,t_end,A,B,C1,W1,PHI1,D,C2,W2,PHI2,C3,W3,PHI3,sigma,r2
2017-07-25 18:00:00.000000000,8.002053,-1.079275,4.934614,0.472421,7.403310,1.503715,0.023751,0.088099,34.966407,-2.294529,0.148804,14.626476,2.849238,0.132461,0.987136
2017-08-25 04:30:00.000000064,8.085387,-1.095556,4.978531,0.177442,20.973893,-1.164425,0.576713,0.453767,7.483583,1.430248,0.133863,14.267054,-3.085988,0.137465,0.985357
2017-09-24 15:00:00.000000064,8.168720,-1.088253,4.968715,0.460584,7.510878,1.392690,0.010000,0.132596,14.359907,3.098390,0.085090,31.047495,-2.436068,0.140803,0.983651
2017-10-25 01:30:00.000000128,8.252053,-1.113406,5.023700,0.369872,14.749239,2.686036,0.874126,0.082383,30.899280,-2.289720,0.463742,7.588033,1.336640,0.137910,0.983273
2017-11-24 12:00:00.000000128,8.335387,-1.120379,5.025260,0.498388,7.588247,1.307939,0.060420,0.116068,21.343743,-1.757186,0.118148,13.704399,-2.418878,0.136186,0.983066
2017-12-24 22:30:00.000000128,8.418720,-1.163149,5.085282,0.619349,7.675178,1.196910,0.204426,0.113875,12.701745,-1.086368,0.130979,21.274081,-1.825168,0.138652,0.981840
2018-01-24 09:00:00.000000128,8.502053,-1.181739,5.134032,0.158729,21.235566,-1.794068,0.127585,0.475735,7.715782,1.149993,0.105004,12.891139,-1.387098,0.142607,0.980221
2018-02-23 19:30:00.000000128,8.585387,-1.251031,5.228381,1.111020,13.148354,-1.773251,1.800137,0.496951,7.986945,0.716216,0.112025,21.272523,-1.912359,0.129712,0.983239
2018-03-26 06:00:00.000000192,8.668720,-1.293169,5.282418,1.570009,13.923147,-2.603283,2.000000,0.105859,20.869579,-1.131796,0.497439,8.047660,0.596791,0.121529,0.984928
2018-04-25 16:30:00.000000192,8.752053,-1.272807,5.251383,1.568590,13.804486,-2.452746,2.000000,0.493296,8.020660,0.640345,0.099606,20.935226,-1.219210,0.122342,0.984220
2018-05-26 03:00:00.000000224,8.835387,-1.250869,5.219181,1.596275,13.685700,-2.298617,2.000000,0.490465,7.995743,0.682458,0.095001,20.987183,-1.269235,0.123229,0.983976
2018-06-25 13:30:00.000000224,8.918720,-1.249538,5.210516,1.481485,13.723221,-2.320432,2.000000,0.480869,7.980152,0.700811,0.090694,21.335628,-1.816942,0.125585,0.983539
2018-07-26 00:00:00.000000224,9.002053,-1.265636,5.235040,1.402607,13.628804,-2.104471,2.000000,0.483944,7.943857,0.753538,0.118045,31.591224,2.439275,0.117123,0.985797
2018-08-25 10:30:00.000000224,9.085387,-1.043429,4.891140,3.000000,7.225609,2.221269,1.609163,0.317236,9.877057,-2.825237,0.116531,31.540264,2.429562,0.121563,0.984729
2018-09-24 21:00:00.000000256,9.168720,0.163814,3.000000,2.999396,9.107220,3.096764,1.378835,0.901755,7.836590,1.511065,0.603334,4.204695,-1.539345,0.144443,0.978229
2018-10-25 07:30:00.000000256,9.252053,-1.072411,4.914499,3.000000,6.257955,-2.740484,1.815256,0.359777,9.569897,-2.106065,0.118103,31.285345,2.877949,0.120293,0.984565
2018-11-24 18:00:00.000000320,9.335387,-1.218129,5.063884,3.000000,4.638199,-0.527271,1.829934,0.122694,31.147147,3.105623,0.396850,9.368497,-1.663956,0.120430,0.983973
2018-12-25 04:30:00.000000320,9.418720,-0.842746,4.608943,3.000000,8.006757,0.797006,1.349816,0.202355,11.394252,0.758207,0.118059,22.936081,1.311307,0.129427,0.980701
2019-01-24 15:00:00.000000384,9.502053,-1.351212,5.166490,3.000000,3.892599,0.464201,1.609261,0.399022,9.583568,-1.967551,0.126901,30.876721,-2.819551,0.127836,0.980549
2019-02-24 01:30:00.000000384,9.585387,-1.530886,5.428844,3.000000,4.822159,-0.732232,1.411147,0.135291,22.065715,3.036566,0.345463,10.430786,2.858712,0.129215,0.979308
2019-03-26 12:00:00.000000448,9.668720,-1.791832,5.762460,3.000000,4.727629,-0.536525,1.298485,0.140333,22.364066,2.430279,0.334331,10.624135,2.517269,0.128462,0.978622
2019-04-25 22:30:00.000000448,9.752053,0.205591,3.000000,0.621702,5.246741,-3.141593,0.010000,0.949851,9.364896,3.141593,1.377681,8.512521,0.953720,0.147951,0.970237
2019-05-26 09:00:00.000000448,9.835387,-1.721442,5.643736,3.000000,4.263948,0.115914,1.356794,0.360517,10.264749,3.141593,0.136598,22.305639,2.582329,0.128764,0.976359
2019-06-25 19:30:00.000000448,9.918720,-0.796156,4.550421,0.367636,6.270256,3.141593,0.592232,0.137809,22.412524,2.446014,0.365993,9.908195,-2.469120,0.129673,0.974851
2019-07-26 06:00:00.000000448,10.002053,-0.625128,4.356483,1.265662,9.873759,-2.569365,0.730391,0.149631,22.677137,1.992159,0.109056,6.768792,3.141593,0.130930,0.973324
2019-08-25 16:30:00.000000448,10.085387,-2.519592,6.994054,1.138176,10.252072,3.141593,0.656602,0.158671,22.798469,1.733739,0.558533,3.216001,2.538505,0.131763,0.972000
2019-09-25 03:00:00.000000512,10.168720,-0.505340,4.187701,0.160037,25.000000,-2.162863,0.010000,0.162347,29.125689,0.227061,0.429630,9.352156,-1.660807,0.106739,0.980846
2019-10-25 13:30:00.000000512,10.252053,-2.629471,7.000000,0.161389,22.456659,2.444660,0.010000,0.508971,4.413173,0.196602,0.327656,10.301467,-3.038312,0.130289,0.970069
2019-11-25 00:00:00.000000512,10.335387,-0.428586,4.080065,1.138755,11.470197,-3.084544,1.109006,0.148068,30.507346,-2.093890,0.530434,10.082369,3.141593,0.133133,0.966875
2019-12-25 10:30:00.000000512,10.418720,-0.491739,4.160467,0.133168,24.353536,-1.011415,0.010000,0.436988,9.451033,-1.815769,0.134537,29.597834,-0.570453,0.109407,0.976220
2020-01-24 21:00:00.000000512,10.502053,-1.236053,5.135947,0.356224,9.701950,-1.922879,0.010000,0.157125,22.430244,2.536295,0.234270,6.214223,3.141593,0.129950,0.964130
2020-02-24 07:30:00.000000576,10.585387,-0.429357,4.093276,0.170924,23.063285,1.490423,0.155804,0.423836,9.288655,-1.503355,0.122281,29.424374,0.009027,0.102910,0.976351
2020-03-25 18:00:00.000000576,10.668720,-1.168912,5.098059,2.999978,2.867336,3.141593,1.331611,0.142689,29.960431,-0.957505,0.365477,10.266719,2.966258,0.129700,0.960961
2020-04-25 04:30:00.000000640,10.752053,-0.242859,3.909842,3.000000,13.560106,-3.088655,1.783588,0.160224,21.206594,-1.228263,0.369975,7.836256,1.303370,0.125691,0.962804
2020-05-25 15:00:00.000000640,10.835387,-0.330207,3.976299,3.000000,23.160260,1.518072,1.680034,0.421648,9.174879,-1.250212,0.155331,28.483156,1.989924,0.096596,0.977788
2020-06-25 01:30:00.000000640,10.918720,-0.744187,4.479653,1.894793,10.337484,3.141593,1.331457,0.140827,21.901627,-2.579288,0.265257,8.983270,-1.153792,0.123914,0.962902
2020-07-25 12:00:00.000000640,11.002053,-0.876477,4.635327,3.000000,9.787266,-2.031268,1.264432,0.194127,9.758809,3.141593,0.138877,21.895273,-2.562062,0.123703,0.962075
2020-08-24 22:30:00.000000704,11.085387,-0.746306,4.486182,1.212090,10.337305,3.141593,0.987550,0.241550,8.747770,-0.784838,0.140615,21.798237,-2.381109,0.123934,0.961137
2020-09-24 09:00:00.000000704,11.168720,-1.671058,5.576849,2.993222,4.713203,-0.883500,1.380722,0.137853,22.401087,2.636321,0.374014,9.344267,-1.397410,0.123059,0.961024
2020-10-24 19:30:00.000000704,11.252053,-1.014858,4.803117,3.000000,9.518686,-2.011284,1.072020,0.124102,20.602262,-0.048593,0.112549,28.517016,2.216451,0.096354,0.975688
2020-11-24 06:00:00.000000768,11.335387,0.542955,3.000000,0.102174,19.965024,1.968057,0.010000,0.490638,7.749913,1.565562,0.142083,25.159503,2.662854,0.100443,0.973823
2020-12-24 16:30:00.000000768,11.418720,0.547758,3.000000,0.272847,21.722186,-3.141593,0.010000,0.218009,19.882193,-3.141593,0.491803,7.583516,1.887154,0.110398,0.969229
2021-01-24 03:00:00.000000768,11.502053,-1.648345,5.600625,0.139114,22.058000,-3.141593,0.010000,0.348508,10.395479,2.936197,0.214816,6.146153,3.141593,0.118239,0.966109
2021-02-23 13:30:00.000000768,11.585387,-2.663536,6.999982,2.961694,2.786709,3.141593,0.906205,0.300639,11.291887,1.016214,0.134350,22.339340,2.457731,0.119598,0.966755
2021-03-26 00:00:00.000000832,11.668720,-2.192743,6.147098,3.000000,11.883252,-0.373689,1.174525,0.119761,34.656541,1.832101,0.181888,22.315367,2.326068,0.105056,0.975470
2021-04-25 10:30:00.000000832,11.752053,-2.594927,7.000000,3.000000,22.037812,2.815991,1.557300,0.453738,3.000000,3.100801,0.313301,12.584487,-1.615413,0.122581,0.967857
2021-05-25 21:00:00.000000832,11.835387,-2.870612,7.000000,3.000000,21.669871,-2.743302,1.546640,0.351932,12.216785,-0.799904,0.219060,5.958893,3.141593,0.123314,0.968442
2021-06-25 07:30:00.000000832,11.918720,-2.823179,6.999564,0.416157,5.987708,3.010850,0.050152,0.135758,20.968663,-1.134664,0.421911,10.557163,2.698706,0.126539,0.967546
2021-07-25 18:00:00.000000832,12.002053,-2.525650,6.507853,3.000000,12.870855,-2.346599,1.184172,0.124884,35.000000,0.932829,0.167916,22.586031,1.604155,0.102458,0.979118
2021-08-25 04:30:00.000000960,12.085387,-2.848021,6.867954,3.000000,24.627506,-2.558805,1.472235,0.108349,35.000000,0.873209,0.281618,14.092398,1.403839,0.101748,0.979855
2021-09-24 15:00:00.000000960,12.168720,-2.888512,6.906884,3.000000,24.817604,-2.936549,1.490894,0.277835,14.173691,1.210011,0.103703,35.000000,0.911770,0.100476,0.980704
