end_date,t_end,A,B,C1,W1,PHI1,D,C2,W2,PHI2,C3,W3,PHI3,C4,W4,PHI4,sigma,r2
2017-07-25 18:00:00.000000000,8.002053,-1.096756,4.965449,0.173539,20.701643,-1.054908,0.734569,0.085572,35.009980,-2.322174,0.147029,14.446163,3.057642,0.456057,7.379278,1.549209,0.121768,0.989129
2017-08-25 04:30:00.000000064,8.085387,-1.093970,4.979761,0.242539,29.860067,-1.183501,0.877294,0.096960,21.401557,-1.668516,0.136017,14.181915,-3.019080,0.450661,7.508998,1.401205,0.123425,0.988195
2017-09-24 15:00:00.000000064,8.168720,-1.108520,5.013086,0.281361,14.398221,2.999178,0.584781,0.084251,30.529708,-1.954716,0.091816,21.603120,-1.948472,0.455844,7.567561,1.356644,0.123702,0.987381
2017-10-25 01:30:00.000000128,8.252053,-1.095951,4.996067,0.314261,14.346956,3.073188,0.675719,0.452592,7.595814,1.320103,0.093969,21.662654,-2.066023,0.084017,30.491117,-1.906708,0.123349,0.986619
2017-11-24 12:00:00.000000128,8.335387,-1.139965,5.055840,0.502709,21.271729,-1.646561,1.248448,0.091152,31.025354,-2.670777,0.466342,7.591007,1.290468,0.114855,13.639887,-2.173158,0.118445,0.987190
2017-12-24 22:30:00.000000128,8.418720,-1.164137,5.099693,0.366426,21.360113,-1.807414,0.851364,0.091559,30.542522,-2.055464,0.471603,7.647724,1.225702,0.109194,13.277590,-1.758129,0.124048,0.985464
2018-01-24 09:00:00.000000128,8.502053,-1.191271,5.145954,0.400610,13.183244,-1.708368,0.944274,0.119640,21.575529,-2.227881,0.097822,29.867766,-1.178075,0.481156,7.812215,1.006068,0.122244,0.985466
2018-02-23 19:30:00.000000128,8.585387,-1.241146,5.209647,1.118476,13.465988,-2.055512,1.769503,0.099402,21.463112,-2.075363,0.094077,30.370721,-1.983702,0.489245,7.952461,0.762177,0.112063,0.987489
2018-03-26 06:00:00.000000192,8.668720,-1.280088,5.259004,1.606140,14.033432,-2.689721,2.000000,0.087121,31.000264,-2.937469,0.490425,8.023463,0.629123,0.092080,20.886404,-1.079084,0.105448,0.988653
2018-04-25 16:30:00.000000192,8.752053,-1.252567,5.219991,1.591218,13.795677,-2.397813,2.000000,0.488122,7.982770,0.697627,0.092079,31.319340,2.880667,0.084657,20.940657,-1.168116,0.104869,0.988406
2018-05-26 03:00:00.000000224,8.835387,-1.235895,5.196892,1.625722,13.685221,-2.256137,2.000000,0.081537,20.907691,-1.095381,0.094761,31.495485,2.611596,0.487803,7.963577,0.731244,0.104614,0.988452
2018-06-25 13:30:00.000000224,8.918720,-1.249676,5.209931,0.892620,13.720779,-2.268984,1.571287,0.476098,7.908517,0.808727,0.081832,21.693280,-2.378840,0.105192,31.353708,2.816665,0.103283,0.988867
2018-07-26 00:00:00.000000224,9.002053,-1.265740,5.235935,1.424627,13.771066,-2.265906,2.000000,0.092463,38.556322,-0.588323,0.127163,31.876982,2.123563,0.485134,7.940373,0.755385,0.099468,0.989756
2018-08-25 10:30:00.000000224,9.085387,-1.262114,5.229346,1.422480,13.725710,-2.208692,2.000000,0.482934,7.934825,0.764730,0.094626,38.536175,-0.549073,0.128765,31.865719,2.141076,0.099581,0.989753
2018-09-24 21:00:00.000000256,9.168720,-1.262098,5.221334,0.206198,13.129152,-1.389531,0.460321,0.117018,31.282843,2.817767,0.456313,7.729847,1.079343,0.094718,22.451436,2.587195,0.103703,0.988778
2018-10-25 07:30:00.000000256,9.252053,-1.273319,5.234172,0.130281,12.563312,-0.493527,0.089432,0.097042,22.435103,2.583606,0.441590,7.589913,1.296067,0.116640,31.188294,2.953603,0.103806,0.988506
2018-11-24 18:00:00.000000320,9.335387,-1.467508,5.498899,0.286110,10.303748,3.099149,0.125560,0.127792,31.473205,2.749819,0.337705,6.495734,3.141593,0.100551,38.299352,-0.243459,0.101592,0.988595
2018-12-25 04:30:00.000000320,9.418720,-1.458926,5.472810,0.105915,21.765868,-2.445030,0.010000,0.232055,10.904616,2.226994,0.120711,30.894330,-2.874436,0.358538,6.448398,3.141593,0.108067,0.986545
2019-01-24 15:00:00.000000384,9.502053,-0.994168,4.837249,0.759541,8.370677,0.045697,0.310863,0.113467,25.125417,-2.395120,0.099448,37.992717,0.037818,0.131231,30.054123,-1.235691,0.101490,0.987740
2019-02-24 01:30:00.000000384,9.585387,-2.619550,7.000000,0.120002,21.747064,-2.485884,0.010000,0.114716,30.788023,-2.814818,0.340159,10.290915,-3.088651,0.518086,4.018365,0.906079,0.108157,0.985503
