end_date,t_end,A,B,x_bar,A_center,sigma,r2
2012-07-25 12:00:00.000000000,3.002053,-1.083884,4.763463,0.281685,0.257910,0.387586,0.728834
2012-08-24 22:30:00.000000032,3.085387,-1.013572,4.530287,0.301159,0.350764,0.386450,0.690602
2012-09-24 09:00:00.000000032,3.168720,-0.874685,4.126515,0.319620,0.444233,0.374771,0.643929
2012-10-24 19:30:00.000000032,3.252053,-0.685117,3.617832,0.337360,0.535394,0.352549,0.590123
2012-11-24 06:00:00.000000032,3.335387,-0.552264,3.265329,0.354266,0.604529,0.343961,0.532817
2012-12-24 16:30:00.000000048,3.418720,-0.434081,3.000000,0.370573,0.677637,0.322902,0.464544
2013-01-24 03:00:00.000000048,3.502053,-0.413123,3.000000,0.386179,0.745414,0.302559,0.363534
2013-02-23 13:30:00.000000048,3.585387,-0.396789,3.000000,0.401280,0.807051,0.297586,0.284828
2013-03-26 00:00:00.000000048,3.668720,-0.368546,3.000000,0.415579,0.878190,0.300801,0.239644
2013-04-25 10:30:00.000000064,3.752053,-0.323818,3.000000,0.429596,0.964971,0.323776,0.224756
2013-05-25 21:00:00.000000064,3.835387,-0.306455,3.000000,0.443210,1.023175,0.344814,0.328226
2013-06-25 07:30:00.000000064,3.918720,-0.633657,3.710751,0.456340,1.059705,0.331486,0.495165
2013-07-25 18:00:00.000000064,4.002053,-1.105056,4.682027,0.469116,1.091359,0.294252,0.650526
2013-08-25 04:30:00.000000080,4.085387,-1.554215,5.578879,0.481468,1.131834,0.252205,0.772989
2013-09-24 15:00:00.000000080,4.168720,-1.938240,6.328137,0.493508,1.184745,0.220377,0.843971
2013-10-25 01:30:00.000000064,4.252053,-2.189089,6.807147,0.505171,1.249685,0.204993,0.872924
2013-11-24 12:00:00.000000096,4.335387,-2.280486,7.000000,0.516558,1.335418,0.217202,0.870982
2013-12-24 22:30:00.000000112,4.418720,-2.257703,7.000000,0.527446,1.434422,0.258580,0.845004
2014-01-24 09:00:00.000000112,4.502053,-2.243288,7.000000,0.538219,1.524242,0.281522,0.840181
2014-02-23 19:30:00.000000096,4.585387,-2.228599,7.000000,0.548756,1.612690,0.297212,0.834524
2014-03-26 06:00:00.000000128,4.668720,-2.213145,7.000000,0.559005,1.699888,0.305395,0.830113
2014-04-25 16:30:00.000000128,4.752053,-2.200711,7.000000,0.569042,1.782581,0.306360,0.825799
2014-05-26 03:00:00.000000128,4.835387,-2.187471,7.000000,0.578818,1.864252,0.303270,0.821898
2014-06-25 13:30:00.000000128,4.918720,-2.169479,7.000000,0.588401,1.949325,0.299484,0.817888
2014-07-26 00:00:00.000000128,5.002053,-2.154628,7.000000,0.597607,2.028620,0.294610,0.814202
2014-08-25 10:30:00.000000128,5.085387,-2.147106,7.000000,0.606754,2.100174,0.291518,0.807306
2014-09-24 21:00:00.000000128,5.168720,-2.141859,7.000000,0.615733,2.168274,0.288076,0.794248
2014-10-25 07:30:00.000000128,5.252053,-2.141551,7.000000,0.624504,2.229974,0.287312,0.768953
2014-11-24 18:00:00.000000128,5.335387,-2.137984,7.000000,0.633119,2.293850,0.282845,0.731633
2014-12-25 04:30:00.000000160,5.418720,-2.116393,6.966741,0.641543,2.353070,0.281897,0.668635
2015-01-24 15:00:00.000000128,5.502053,-1.205471,5.558863,0.649824,2.406811,0.279737,0.555948
2015-02-24 01:30:00.000000128,5.585387,-0.302465,4.181045,0.657928,2.448360,0.274766,0.414868
2015-03-26 12:00:00.000000160,5.668720,0.403715,3.119699,0.665761,2.480689,0.269180,0.283299
