lag_months,xcorr_level,xcorr_excess
-24,-0.091609,-0.785333
-23,-0.115392,-0.803741
-22,-0.130648,-0.795849
-21,-0.135625,-0.754900
-20,-0.135556,-0.698376
-19,-0.135208,-0.642326
-18,-0.132098,-0.578002
-17,-0.126615,-0.506670
-16,-0.119559,-0.431090
-15,-0.105038,-0.335678
-14,-0.082482,-0.226022
-13,-0.051295,-0.107015
-12,-0.014824,0.005708
-11,0.028108,0.114894
-10,0.074484,0.218653
-9,0.120153,0.323788
-8,0.163383,0.423758
-7,0.205142,0.521850
-6,0.242394,0.606479
-5,0.272863,0.668659
-4,0.296714,0.715090
-3,0.311880,0.740275
-2,0.316935,0.742594
-1,0.314968,0.727818
0,0.305934,0.693197
1,0.304564,0.644648
2,0.295555,0.584007
3,0.278600,0.518657
4,0.256689,0.451906
5,0.231989,0.377806
6,0.204636,0.297155
7,0.175376,0.213188
8,0.142938,0.122731
9,0.108358,0.031013
10,0.071934,-0.063823
11,0.036698,-0.153567
12,0.003172,-0.235433
13,-0.031042,-0.316638
14,-0.065505,-0.396079
15,-0.095922,-0.460480
16,-0.121514,-0.509574
17,-0.142341,-0.562217
18,-0.159260,-0.600187
19,-0.173041,-0.632603
20,-0.182223,-0.642048
21,-0.186410,-0.633366
22,-0.186127,-0.604082
23,-0.179724,-0.555989
24,-0.169247,-0.492395
