lag_months,xcorr_level,xcorr_excess
-24,-0.141757,-0.755527
-23,-0.166418,-0.792422
-22,-0.183277,-0.804721
-21,-0.192638,-0.792710
-20,-0.194951,-0.759503
-19,-0.190575,-0.707959
-18,-0.179865,-0.641106
-17,-0.162854,-0.560605
-16,-0.140516,-0.468299
-15,-0.113294,-0.362871
-14,-0.082206,-0.246870
-13,-0.047251,-0.122392
-12,-0.009626,0.005244
-11,0.029534,0.131467
-10,0.069078,0.251652
-9,0.106970,0.362598
-8,0.140875,0.460420
-7,0.170438,0.544853
-6,0.194822,0.613688
-5,0.213215,0.665909
-4,0.225949,0.701515
-3,0.232601,0.717838
-2,0.232399,0.713042
-1,0.226580,0.688500
0,0.215323,0.645473
1,0.206881,0.592452
2,0.195283,0.533501
3,0.180343,0.471062
4,0.162900,0.406691
5,0.142807,0.339712
6,0.119838,0.269362
7,0.094382,0.197435
8,0.066876,0.125768
9,0.038368,0.056522
10,0.009946,-0.009863
11,-0.018415,-0.073968
12,-0.047090,-0.136851
13,-0.075583,-0.196092
14,-0.103788,-0.251349
15,-0.130908,-0.302108
16,-0.156258,-0.346878
17,-0.178981,-0.397956
18,-0.200226,-0.443575
19,-0.219172,-0.486177
20,-0.235498,-0.514841
21,-0.247788,-0.532330
22,-0.256184,-0.535063
23,-0.258633,-0.526766
24,-0.254491,-0.503999
