end_date,t_end,A,B,x_bar,A_center,sigma,r2
2011-01-24 15:00:00.000000000,1.502053,-1.398074,5.568157,0.094389,-0.872502,0.116936,0.853455
2011-02-24 01:30:00.000000000,1.585387,-1.623746,7.585684,0.123258,-0.688752,0.116418,0.905134
2011-03-26 11:59:59.999999984,1.668720,-1.636613,7.598377,0.149460,-0.500962,0.116375,0.894589
2011-04-25 22:29:59.999999984,1.752053,-1.366443,5.969851,0.174577,-0.324242,0.113025,0.830242
2011-05-26 08:59:59.999999984,1.835387,-2.043531,9.767825,0.198267,-0.106893,0.182112,0.820477
2011-06-25 19:29:59.999999984,1.918720,-2.878157,13.919798,0.220759,0.194766,0.234587,0.832952
2011-07-26 05:59:59.999999968,2.002053,-3.087081,14.689118,0.242101,0.469171,0.230466,0.840527
2011-08-25 16:29:59.999999968,2.085387,-2.978093,13.869517,0.262468,0.662210,0.257169,0.772599
2011-09-25 02:59:59.999999984,2.168720,-1.523839,8.268609,0.281888,0.806985,0.338097,0.392392
2011-10-25 13:29:59.999999968,2.252053,1.540799,-2.102794,0.300188,0.909566,0.254713,0.063344
2011-11-24 23:59:59.999999968,2.335387,3.741250,-9.007485,0.318317,0.874018,0.111098,0.855935
2011-12-25 10:29:59.999999968,2.418720,3.729669,-8.848185,0.335165,0.764067,0.097377,0.874557
2012-01-24 20:59:59.999999968,2.502053,2.272608,-4.479466,0.351656,0.697375,0.174756,0.337108
2012-02-24 07:29:59.999999968,2.585387,0.686811,-0.111405,0.367523,0.645867,0.154490,0.000378
2012-03-25 17:59:59.999999952,2.668720,-0.460240,2.834514,0.382846,0.624942,0.109843,0.308605
2012-04-25 04:29:59.999999952,2.752053,-0.671777,3.304227,0.397628,0.642077,0.093610,0.440936
2012-05-25 14:59:59.999999952,2.835387,0.044379,1.549111,0.411938,0.682517,0.084126,0.167472
2012-06-25 01:29:59.999999952,2.918720,0.800827,-0.183552,0.425775,0.722675,0.050284,0.007354
2012-07-25 11:59:59.999999936,3.002053,-0.080661,1.867020,0.438974,0.738913,0.053830,0.386250
2012-08-24 22:29:59.999999952,3.085387,-1.402154,4.845086,0.452000,0.787823,0.063410,0.739915
2012-09-24 08:59:59.999999952,3.168720,-2.174036,6.501889,0.464633,0.846953,0.048969,0.891234
2012-10-24 19:29:59.999999936,3.252053,-2.401534,6.946810,0.476919,0.911531,0.044669,0.913092
2012-11-24 05:59:59.999999936,3.335387,-1.598724,5.250175,0.488856,0.967854,0.062928,0.743161
2012-12-24 16:29:59.999999936,3.418720,-0.694090,3.441496,0.500483,1.028319,0.052192,0.628858
2013-01-24 02:59:59.999999936,3.502053,-0.032275,2.165337,0.511796,1.075936,0.035718,0.578843
2013-02-23 13:29:59.999999936,3.585387,-1.391519,4.827202,0.522648,1.131408,0.068902,0.635841
2013-03-25 23:59:59.999999936,3.668720,-4.270678,10.314737,0.533413,1.231339,0.114000,0.732700
2013-04-25 10:29:59.999999936,3.752053,-8.882139,18.897553,0.543909,1.396416,0.144501,0.846538
2013-05-25 20:59:59.999999936,3.835387,-10.596870,21.952386,0.554165,1.568379,0.121484,0.908559
2013-06-25 07:29:59.999999936,3.918720,-9.649228,20.158253,0.564177,1.723587,0.148092,0.844799
2013-07-25 17:59:59.999999920,4.002053,-5.070847,12.066986,0.573969,1.855232,0.188617,0.532013
2013-08-25 04:29:59.999999936,4.085387,-0.405354,4.054085,0.583539,1.960362,0.149104,0.165724
2013-09-24 14:59:59.999999936,4.168720,2.362234,-0.555532,0.592753,2.032941,0.080290,0.012179
2013-10-25 01:29:59.999999920,4.252053,1.010094,1.722003,0.602073,2.046866,0.075403,0.113999
2013-11-24 11:59:59.999999904,4.335387,-3.963387,9.958962,0.610906,2.120603,0.145706,0.525292
