lag_months,xcorr_level,xcorr_excess
-24,-0.058577,0.014616
-23,-0.058097,0.001611
-22,-0.063937,-0.027840
-21,-0.074777,-0.069350
-20,-0.087353,-0.121118
-19,-0.097616,-0.172302
-18,-0.103472,-0.220683
-17,-0.107230,-0.270655
-16,-0.114748,-0.326909
-15,-0.124882,-0.384697
-14,-0.134803,-0.444163
-13,-0.135937,-0.481046
-12,-0.124352,-0.484722
-11,-0.101803,-0.461407
-10,-0.077928,-0.429531
-9,-0.066076,-0.411018
-8,-0.073308,-0.420734
-7,-0.090122,-0.444418
-6,-0.105910,-0.461531
-5,-0.103368,-0.401850
-4,-0.072180,-0.234929
-3,-0.025088,-0.015318
-2,0.018635,0.199213
-1,0.051045,0.361850
0,0.063093,0.419571
1,0.074870,0.404011
2,0.083162,0.378743
3,0.093252,0.373363
4,0.106966,0.390390
5,0.118772,0.427089
6,0.123686,0.457040
7,0.120574,0.462587
8,0.108951,0.430885
9,0.096761,0.378457
10,0.086930,0.321171
11,0.079570,0.264505
12,0.069789,0.204410
13,0.055375,0.154770
14,0.037444,0.116586
15,0.021541,0.089435
16,0.008898,0.066425
17,0.004648,0.048745
18,0.004717,0.031211
19,0.004288,0.005965
20,0.000192,-0.028047
21,-0.011341,-0.063822
22,-0.030371,-0.105386
23,-0.051647,-0.145256
24,-0.074234,-0.178990
