end_date,t_end,A,B,sigma,r2
2017-07-25 18:00:00.000000000,8.002053,-1.019606,4.731176,0.354561,0.907830
2017-08-25 04:30:00.000000064,8.085387,-1.003415,4.715061,0.354600,0.902562
2017-09-24 15:00:00.000000064,8.168720,-0.971540,4.678343,0.352926,0.897282
2017-10-25 01:30:00.000000128,8.252053,-0.933988,4.635661,0.350756,0.891799
2017-11-24 12:00:00.000000128,8.335387,-0.931221,4.644729,0.354356,0.885346
2017-12-24 22:30:00.000000128,8.418720,-0.924544,4.654853,0.362268,0.876031
2018-01-24 09:00:00.000000128,8.502053,-0.920686,4.668557,0.369497,0.867214
2018-02-23 19:30:00.000000128,8.585387,-0.935539,4.701965,0.374040,0.860624
2018-03-26 06:00:00.000000192,8.668720,-0.945452,4.727932,0.377839,0.854311
2018-04-25 16:30:00.000000192,8.752053,-0.941747,4.732418,0.379444,0.848211
2018-05-26 03:00:00.000000224,8.835387,-1.010316,4.831755,0.378583,0.848760
2018-06-25 13:30:00.000000224,8.918720,-1.126627,4.988015,0.366162,0.860069
2018-07-26 00:00:00.000000224,9.002053,-1.240013,5.137796,0.354306,0.870023
2018-08-25 10:30:00.000000224,9.085387,-1.332538,5.258728,0.346142,0.876189
2018-09-24 21:00:00.000000256,9.168720,-1.393681,5.337975,0.342671,0.877471
2018-10-25 07:30:00.000000256,9.252053,-1.415996,5.367196,0.341957,0.875271
2018-11-24 18:00:00.000000320,9.335387,-1.407669,5.356625,0.341916,0.870812
2018-12-25 04:30:00.000000320,9.418720,-1.380029,5.317252,0.342542,0.864818
2019-01-24 15:00:00.000000384,9.502053,-1.373647,5.304031,0.343324,0.859703
2019-02-24 01:30:00.000000384,9.585387,-1.347725,5.266417,0.344376,0.853025
2019-03-26 12:00:00.000000448,9.668720,-1.307765,5.212981,0.344779,0.846004
2019-04-25 22:30:00.000000448,9.752053,-1.259435,5.152108,0.343944,0.839150
2019-05-26 09:00:00.000000448,9.835387,-1.208325,5.091025,0.341879,0.833346
2019-06-25 19:30:00.000000448,9.918720,-1.157583,5.033373,0.339451,0.827663
2019-07-26 06:00:00.000000448,10.002053,-1.118897,4.992287,0.337693,0.822547
2019-08-25 16:30:00.000000448,10.085387,-1.088473,4.960190,0.336653,0.817219
2019-09-25 03:00:00.000000512,10.168720,-1.046001,4.913655,0.334913,0.811427
2019-10-25 13:30:00.000000512,10.252053,-0.988397,4.847636,0.332439,0.805138
2019-11-25 00:00:00.000000512,10.335387,-0.909913,4.758646,0.327971,0.798973
2019-12-25 10:30:00.000000512,10.418720,-0.823614,4.659542,0.323376,0.792254
2020-01-24 21:00:00.000000512,10.502053,-0.728377,4.551730,0.317601,0.785737
2020-02-24 07:30:00.000000576,10.585387,-0.663400,4.480195,0.314157,0.779608
2020-03-25 18:00:00.000000576,10.668720,-0.622946,4.433486,0.313540,0.771858
2020-04-25 04:30:00.000000640,10.752053,-0.640780,4.450894,0.312907,0.769477
2020-05-25 15:00:00.000000640,10.835387,-0.664789,4.477282,0.312516,0.767500
2020-06-25 01:30:00.000000640,10.918720,-0.678949,4.492830,0.312338,0.764302
2020-07-25 12:00:00.000000640,11.002053,-0.662114,4.473881,0.312199,0.758438
2020-08-24 22:30:00.000000704,11.085387,-0.657245,4.469799,0.312251,0.753305
2020-09-24 09:00:00.000000704,11.168720,-0.658856,4.471860,0.312200,0.749134
2020-10-24 19:30:00.000000704,11.252053,-0.662366,4.475977,0.312213,0.744745
2020-11-24 06:00:00.000000768,11.335387,-0.747345,4.569891,0.309297,0.751784
