end_date,t_end,A,B,sigma,r2
2019-07-26 06:00:00.000000000,10.002053,-1.143026,5.018234,0.349839,0.930450
2019-08-25 16:30:00.000000064,10.085387,-1.135096,5.010478,0.349795,0.927057
2019-09-25 03:00:00.000000064,10.168720,-1.111884,4.982779,0.348341,0.923662
2019-10-25 13:30:00.000000128,10.252053,-1.079790,4.942303,0.346140,0.920045
2019-11-25 00:00:00.000000128,10.335387,-1.072132,4.932993,0.345923,0.916622
2019-12-25 10:30:00.000000128,10.418720,-1.049676,4.903951,0.345171,0.912641
2020-01-24 21:00:00.000000128,10.502053,-1.027818,4.876347,0.344365,0.908802
2020-02-24 07:30:00.000000128,10.585387,-1.028046,4.876991,0.344191,0.905478
2020-03-25 18:00:00.000000192,10.668720,-1.018629,4.863673,0.344386,0.901565
2020-04-25 04:30:00.000000192,10.752053,-1.000004,4.838768,0.344220,0.897374
2020-05-25 15:00:00.000000256,10.835387,-1.039564,4.884962,0.341054,0.897349
2020-06-25 01:30:00.000000256,10.918720,-1.120292,4.979280,0.329261,0.903923
2020-07-25 12:00:00.000000256,11.002053,-1.196865,5.067361,0.318970,0.909227
2020-08-24 22:30:00.000000256,11.085387,-1.259309,5.139458,0.312162,0.912289
2020-09-24 09:00:00.000000256,11.168720,-1.295319,5.179597,0.309605,0.912123
2020-10-24 19:30:00.000000320,11.252053,-1.301703,5.185444,0.309309,0.909846
2020-11-24 06:00:00.000000320,11.335387,-1.292178,5.175117,0.309077,0.906924
2020-12-24 16:30:00.000000320,11.418720,-1.283164,5.166934,0.308982,0.904060
2021-01-24 03:00:00.000000320,11.502053,-1.302239,5.193983,0.310530,0.901462
2021-02-23 13:30:00.000000448,11.585387,-1.313668,5.213491,0.312931,0.897953
2021-03-26 00:00:00.000000448,11.668720,-1.319735,5.228381,0.315882,0.894044
2021-04-25 10:30:00.000000448,11.752053,-1.317080,5.233505,0.318484,0.889772
2021-05-25 21:00:00.000000448,11.835387,-1.304038,5.225855,0.319515,0.886040
2021-06-25 07:30:00.000000448,11.918720,-1.278624,5.202263,0.318680,0.882732
2021-07-25 18:00:00.000000448,12.002053,-1.254159,5.178765,0.317785,0.879530
2021-08-25 04:30:00.000000448,12.085387,-1.245664,5.174582,0.318292,0.876184
2021-09-24 15:00:00.000000448,12.168720,-1.231323,5.164089,0.318605,0.872507
2021-10-25 01:30:00.000000448,12.252053,-1.216909,5.154404,0.319012,0.868924
2021-11-24 12:00:00.000000512,12.335387,-1.189842,5.131761,0.318654,0.865101
2021-12-24 22:30:00.000000512,12.418720,-1.158305,5.102956,0.317411,0.861742
2022-01-24 09:00:00.000000512,12.502053,-1.115756,5.061523,0.315076,0.858490
2022-02-23 19:30:00.000000512,12.585387,-1.087707,5.034584,0.313987,0.855047
2022-03-26 06:00:00.000000640,12.668720,-1.089294,5.038783,0.314107,0.852067
2022-04-25 16:30:00.000000640,12.752053,-1.137598,5.091645,0.313024,0.852591
2022-05-26 03:00:00.000000640,12.835387,-1.174497,5.130431,0.311968,0.852463
2022-06-25 13:30:00.000000640,12.918720,-1.194350,5.149262,0.311593,0.850652
2022-07-26 00:00:00.000000704,13.002053,-1.184793,5.136097,0.312129,0.846686
2022-08-25 10:30:00.000000704,13.085387,-1.180349,5.128794,0.312566,0.842873
2022-09-24 21:00:00.000000704,13.168720,-1.177407,5.121957,0.313240,0.838988
2022-10-25 07:30:00.000000704,13.252053,-1.172906,5.113068,0.314046,0.834740
2022-11-24 18:00:00.000000768,13.335387,-1.213323,5.149188,0.311687,0.835792
2022-12-25 04:30:00.000000768,13.418720,-1.303168,5.234042,0.302692,0.845222
2023-01-24 15:00:00.000000768,13.502053,-1.397236,5.323290,0.293629,0.854481
2023-02-24 01:30:00.000000768,13.585387,-1.484874,5.406797,0.285402,0.862686
2023-03-26 12:00:00.000000832,13.668720,-1.565844,5.483466,0.278698,0.868979
2023-04-25 22:30:00.000000832,13.752053,-1.630058,5.543964,0.274246,0.872791
2023-05-26 09:00:00.000000832,13.835387,-1.689232,5.598564,0.270412,0.875768
2023-06-25 19:30:00.000000832,13.918720,-1.760701,5.664783,0.264756,0.880687
2023-07-26 06:00:00.000000832,14.002053,-1.836197,5.734992,0.258771,0.885857
2023-08-25 16:30:00.000000960,14.085387,-1.895079,5.788157,0.254724,0.888919
2023-09-25 03:00:00.000000960,14.168720,-1.934438,5.821220,0.252869,0.889632
2023-10-25 13:30:00.000000960,14.252053,-1.958260,5.839478,0.252630,0.888471
2023-11-25 00:00:00.000000960,14.335387,-1.981531,5.858388,0.252017,0.887771
2023-12-25 10:30:00.000001088,14.418720,-2.006040,5.879308,0.251405,0.887020
2024-01-24 21:00:00.000001088,14.502053,-2.002992,5.873738,0.251694,0.884742
2024-02-24 07:30:00.000001088,14.585387,-1.987242,5.856251,0.252143,0.881825
2024-03-25 18:00:00.000001088,14.668720,-1.988815,5.857413,0.252148,0.879978
2024-04-25 04:30:00.000001088,14.752053,-1.975410,5.844349,0.252030,0.877749
2024-05-25 15:00:00.000001088,14.835387,-1.949715,5.819210,0.251875,0.874935
2024-06-25 01:30:00.000001088,14.918720,-1.917833,5.788464,0.251411,0.872288
2024-07-25 12:00:00.000001088,15.002053,-1.882767,5.754076,0.251237,0.869050
2024-08-24 22:30:00.000001152,15.085387,-1.836575,5.709190,0.250677,0.865795
2024-09-24 09:00:00.000001152,15.168720,-1.767487,5.642654,0.249258,0.862318
2024-10-24 19:30:00.000001152,15.252053,-1.700359,5.578640,0.247574,0.859195
2024-11-24 06:00:00.000001152,15.335387,-1.656077,5.537366,0.246550,0.856297
2024-12-24 16:30:00.000001280,15.418720,-1.630398,5.514672,0.245967,0.853824
2025-01-24 03:00:00.000001280,15.502053,-1.598141,5.485801,0.245109,0.851379
2025-02-23 13:30:00.000001280,15.585387,-1.549683,5.441927,0.243609,0.848716
2025-03-26 00:00:00.000001280,15.668720,-1.490443,5.387239,0.241811,0.845995
2025-04-25 10:30:00.000001280,15.752053,-1.420382,5.322613,0.239580,0.843051
2025-05-25 21:00:00.000001344,15.835387,-1.357135,5.265448,0.237126,0.840819
2025-06-25 07:30:00.000001344,15.918720,-1.309956,5.223318,0.235624,0.838191
2025-07-25 18:00:00.000001344,16.002053,-1.266415,5.184891,0.234261,0.835644
2025-08-25 04:30:00.000001344,16.085387,-1.206857,5.132123,0.231808,0.833661
2025-09-24 15:00:00.000001472,16.168720,-1.132937,5.066157,0.228631,0.831652
2025-10-25 01:30:00.000001472,16.252053,-1.055997,4.997660,0.225021,0.830232
2025-11-24 12:00:00.000001472,16.335387,-0.970409,4.920703,0.221501,0.828052
2025-12-24 22:30:00.000001472,16.418720,-0.877860,4.836919,0.217889,0.825714
2026-01-24 09:00:00.000001472,16.502053,-0.787381,4.755233,0.214526,0.823080
2026-02-23 19:30:00.000001536,16.585387,-0.684971,4.661733,0.211641,0.819074
2026-03-26 06:00:00.000001472,16.668720,-0.578772,4.564718,0.208976,0.814328
